Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code,ID
1,2020,Rio Blanco,,,NL,NL,12020Rio Blanco
1,2020,Park,,"388,731",NR,,12020Park
1,2020,Grand,,"626,116",NR,,12020Grand
1,2020,Adams,"633,417","9,161,056",,,12020Adams
1,2020,Washington,,,NL,NL,12020Washington
1,2020,La Plata,,"2,345,450",NR,,12020La Plata
1,2020,Costilla,,"334,578",NL,,12020Costilla
1,2020,Delta,,,NR,NL,12020Delta
1,2020,Sum of NR Counties,"28,219,107","111,660,730",,,12020Sum of NR Counties
1,2020,Montezuma,,"1,741,219",NR,,12020Montezuma
1,2020,El Paso,"8,446,189",,,NR,12020El Paso
1,2020,Saguache,,"254,895",NL,,12020Saguache
1,2020,Eagle,"112,180","1,964,595",,,12020Eagle
1,2020,Summit,,"2,873,525",NR,,12020Summit
1,2020,Phillips,,,NL,NL,12020Phillips
1,2020,Douglas,,,NL,NL,12020Douglas
1,2020,Morgan,,"1,501,900",NR,,12020Morgan
1,2020,Fremont,,,NR,NL,12020Fremont
1,2020,Garfield,"99,505","1,779,794",,,12020Garfield
1,2020,Mesa,,"1,395,679",NR,,12020Mesa
1,2020,Kit Carson,,,NL,NL,12020Kit Carson
1,2020,Yuma,,,NL,NL,12020Yuma
1,2020,Mineral,,,NL,NL,12020Mineral
1,2020,Archuleta,,"842,953",NL,,12020Archuleta
1,2020,Weld,"288,641","2,326,213",,,12020Weld
1,2020,Pitkin,,"1,501,527",NR,,12020Pitkin
1,2020,Conejos,,,NL,NR,12020Conejos
1,2020,Kiowa,,,NL,NL,12020Kiowa
1,2020,Gunnison,,"641,199",NL,,12020Gunnison
1,2020,Prowers,,,NL,NL,12020Prowers
1,2020,Baca,,,NL,NL,12020Baca
1,2020,Lake,,,NL,NR,12020Lake
1,2020,Larimer,"763,518","7,671,046",,,12020Larimer
1,2020,Chaffee,,"502,604",NR,,12020Chaffee
1,2020,Gilpin,,"240,660",NL,,12020Gilpin
1,2020,Cheyenne,,,NL,NL,12020Cheyenne
1,2020,Rio Grande,,,NL,NL,12020Rio Grande
1,2020,Jefferson,"1,517,024","4,389,257",,,12020Jefferson
1,2020,Otero,,,NR,NR,12020Otero
1,2020,Teller,,,NL,NL,12020Teller
1,2020,Alamosa,,,NR,NL,12020Alamosa
1,2020,Moffat,,,NR,NR,12020Moffat
1,2020,Lincoln,,,NL,NL,12020Lincoln
1,2020,Elbert,,,NL,NL,12020Elbert
1,2020,Denver,"12,561,679","32,725,429",,,12020Denver
1,2020,San Miguel,,"546,613",NR,,12020San Miguel
1,2020,Dolores,,,NL,NL,12020Dolores
1,2020,Arapahoe,"797,863","11,255,656",,,12020Arapahoe
1,2020,Ouray,,"696,495",NL,,12020Ouray
1,2020,Jackson,,,NL,NL,12020Jackson
1,2020,Las Animas,"26,742","3,806,589",,,12020Las Animas
