Month of Harvest Date,Measure Names,Total Wet Weight Detail,Total Wet Weight Lb
June 2016,Total Wet Weight Lb,165.3,165.3
July 2016,Total Wet Weight Lb,3036.91557406,3036.91557406
August 2016,Total Wet Weight Lb,9488.14378746,9488.14378746
September 2016,Total Wet Weight Lb,71586.13689807,71586.13689807
October 2016,Total Wet Weight Lb,1030632.957624,1030632.957624
November 2016,Total Wet Weight Lb,343476.35125833,343476.35125833
December 2016,Total Wet Weight Lb,19648.95954639,19648.95954639
January 2017,Total Wet Weight Lb,22709.3984459,22709.3984459
February 2017,Total Wet Weight Lb,31096.689064354,31096.689064354
March 2017,Total Wet Weight Lb,44791.35220922,44791.35220922
April 2017,Total Wet Weight Lb,49399.998603813,49399.998603813
May 2017,Total Wet Weight Lb,100305.505811369,100305.505811369
June 2017,Total Wet Weight Lb,107168.98148051,107168.98148051
July 2017,Total Wet Weight Lb,161367.81562151,161367.81562151
August 2017,Total Wet Weight Lb,243090.80333655,243090.80333655
September 2017,Total Wet Weight Lb,469771.308086062,469771.308086062
October 2017,Total Wet Weight Lb,2477691.57958146,2477691.57958146
November 2017,Total Wet Weight Lb,809213.48410058,809213.48410058
December 2017,Total Wet Weight Lb,126419.172570722,126419.172570722
January 2018,Total Wet Weight Lb,117380.4137234,117380.4137234
February 2018,Total Wet Weight Lb,85478.682005076,85478.682005076
March 2018,Total Wet Weight Lb,115220.295207699,115220.295207699
April 2018,Total Wet Weight Lb,104631.38410529,104631.38410529
May 2018,Total Wet Weight Lb,134978.99643604,134978.99643604
June 2018,Total Wet Weight Lb,129244.02373114,129244.02373114
July 2018,Total Wet Weight Lb,244292.56191572,244292.56191572
August 2018,Total Wet Weight Lb,279814.08864372,279814.08864372
September 2018,Total Wet Weight Lb,315801.547687051,315801.547687051
October 2018,Total Wet Weight Lb,2541613.51226082,2541613.51226082
November 2018,Total Wet Weight Lb,833207.035055099,833207.035055099
December 2018,Total Wet Weight Lb,138592.914199653,138592.914199653
January 2019,Total Wet Weight Lb,137476.05756111,137476.05756111
February 2019,Total Wet Weight Lb,115414.34972002,115414.34972002
March 2019,Total Wet Weight Lb,130066.203614624,130066.203614624
April 2019,Total Wet Weight Lb,178893.41174447,178893.41174447
May 2019,Total Wet Weight Lb,158378.251816624,158378.251816624
June 2019,Total Wet Weight Lb,154491.9272237,154491.9272237
July 2019,Total Wet Weight Lb,323927.7854192,323927.7854192
August 2019,Total Wet Weight Lb,390589.23079121,390589.23079121
September 2019,Total Wet Weight Lb,713252.793332104,713252.793332104
October 2019,Total Wet Weight Lb,2946775.615128,2946775.615128
November 2019,Total Wet Weight Lb,474831.82524451,474831.82524451
December 2019,Total Wet Weight Lb,183349.3951924,183349.3951924
January 2020,Total Wet Weight Lb,179421.125008545,179421.125008545
February 2020,Total Wet Weight Lb,165060.69184329,165060.69184329
March 2020,Total Wet Weight Lb,189669.140579135,189669.140579135
April 2020,Total Wet Weight Lb,186721.588527746,186721.588527746
May 2020,Total Wet Weight Lb,218844.823513696,218844.823513696
June 2020,Total Wet Weight Lb,306388.69132682,306388.69132682
July 2020,Total Wet Weight Lb,452538.985141221,452538.985141221
August 2020,Total Wet Weight Lb,649539.698967836,649539.698967836
September 2020,Total Wet Weight Lb,714787.817365073,714787.817365073
October 2020,Total Wet Weight Lb,3999775.89563053,3999775.89563053
November 2020,Total Wet Weight Lb,752608.689130661,752608.689130661
December 2020,Total Wet Weight Lb,269920.364309951,269920.364309951
January 2021,Total Wet Weight Lb,240613.083007459,240613.083007459
February 2021,Total Wet Weight Lb,232971.534743286,232971.534743286
March 2021,Total Wet Weight Lb,250961.725707113,250961.725707113
