business_dba_name,license_number,id,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,license_type,license_status,business_phone,license_designation,license_term,issue_date,business_email,business_legal_name,licensing_authority_id,licensing_authority,license_status_date,expiration_date,activity,parcel_number,business_owner_name,business_structure,business_image_url,business_website,data_refreshed_date,premise_latitude,premise_longitude
#Hashtag,430562,6033581390010004.0,224 NICKERSON ST,SEATTLE                 ,WA,KING,981091622,Adult-Use Retailer,ACTIVE (ISSUED),5042315918,Adult-Use,,,,#Hashtag,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.7566916,-122.4661538
112Th Street Cannabis,423413,6033491670010006.0,5809 112TH ST E BLDG B,PUYALLUP                ,WA,PIERCE,983734323,Adult-Use Retailer,ACTIVE (ISSUED),2069924008,Adult-Use,,,,112Th Street Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.81460389999999,-122.5440638
2020 Cannabis Solutions Mt Baker Highway,355469,6043490200010002.0,1706 MT BAKER HWY,BELLINGHAM              ,WA,WHATCOM,982268721,Adult-Use Retailer,ACTIVE (ISSUED),3607342020,Adult-Use,,,,2020 Cannabis Solutions Mt Baker Highway,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.3111787,-117.994324
2020 Solutions Ephrata,422239,6035723460010001.0,1615 BASIN ST SW,EPHRATA                 ,WA,GRANT,988232134,Adult-Use Retailer,ACTIVE (ISSUED),3609154944,Adult-Use,,,,2020 Solutions Ephrata,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.0485411,-122.7956133
2020 Solutions Iron Street,415470,6043490150010001.0,2018 IRON ST STE A,BELLINGHAM              ,WA,WHATCOM,982264212,Adult-Use Retailer,ACTIVE (ISSUED),2068180966,Adult-Use,,,,2020 Solutions Iron Street,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.00441000000001,-123.4043577
2020 Solutions Pacific Highway,420908,6043490230010001.0,4770 PACIFIC HWY STE A,BELLINGHAM              ,WA,WHATCOM,982269049,Adult-Use Retailer,ACTIVE (ISSUED),3607342020,Adult-Use,,,,2020 Solutions Pacific Highway,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.049947,-122.994932
2020 Solutions Soap Lake,422363,6035723460010002.0,261 STATE HWY 28 WEST,SOAP LAKE               ,WA,GRANT,988510000,Adult-Use Retailer,ACTIVE (ISSUED),3609154944,Adult-Use,,,,2020 Solutions Soap Lake,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.5548932,-122.2901412
20After4,364709,6033492700010006.0,1511 N GOERIG ST,WOODLAND                ,WA,COWLITZ,986748466,Adult-Use Retailer,ACTIVE (ISSUED),3605629420,Adult-Use,,,,20After4,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.822625,-122.2064398
28 Grahams Cannabis,428654,6031183740010004.0,10315 200TH ST E,GRAHAM                  ,WA,PIERCE,983380000,Adult-Use Retailer,ACTIVE (ISSUED),2537405648,Adult-Use,,,,28 Grahams Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.2197696,-119.7845671
365 Recreational Cannabis,422099,6041520640010001.0,36711 U.S. HIGHWAY 12,DAYTON                  ,WA,COLUMBIA,983288622,Adult-Use Retailer,ACTIVE (ISSUED),5093823161,Adult-Use,,,,365 Recreational Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.462616,-122.581321
