license_number,id,business_dba_name,license_type,license_status,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,premise_street_address,premise_county,premise_latitude,premise_longitude,business_phone,business_website,business_email,business_image_url,data_refreshed_date
10014,1030481,THE NAKED HERBALIST,Limited Marijuana Cultivation Facility,Active-Pending Inspection,THE NAKED HERBALIST,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Willow,99688,,,,,,,,,2023-08-12T10:49:50.664362
10063,1032827,BOB'S MORNING BEAR CULTIVATION,Limited Marijuana Cultivation Facility,Active-Operating,BOB'S MORNING BEAR CULTIVATION,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Kasilof,99610,21725 Evelyn May St,Kenai Peninsula Borough,60.2947885,-151.2364349,,,,,2023-08-12T10:49:50.664362
10122,1032575,"STONEY CREEK GROWERS, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"STONEY CREEK GROWERS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,SEWARD,99664,Stoney Creek Ave,Kenai Peninsula Borough,60.18226319999999,-149.381407,,,,,2023-08-12T10:49:50.664362
10141,1015840,"COYOTE AND TOAD'S GARDEN, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"COYOTE AND TOAD'S GARDEN, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Skagway,99840,,,,,,,,,2023-08-12T10:49:50.664362
10147,1033200,PERMAFROST DISTRIBUTORS,Limited Marijuana Cultivation Facility,Active-Operating,PERMAFROST DISTRIBUTORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Nikiski,99611,,,,,,,,,2023-08-12T10:49:50.664362
10176,1033153,ALPHA KILO LLC,Limited Marijuana Cultivation Facility,Active-Operating,ALPHA KILO LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Seward,99664,,,,,,,,,2023-08-12T10:49:50.664362
10193,1033552,STONEY CREEK CULTIVATORS,Limited Marijuana Cultivation Facility,Active-Operating,STONEY CREEK CULTIVATORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Seward,99664,,,,,,,,,2023-08-12T10:49:50.664362
10210,2090077,Cannaboyd,Limited Marijuana Cultivation Facility,Active-Operating,Cannaboyd,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Homer,99603,35047 Lowbush St,Kenai Peninsula Borough,59.764394,-151.204302,,,,,2023-08-12T10:49:50.664362
10231,1064821,420 GROW TECH,Limited Marijuana Cultivation Facility,Active-Pending Inspection,420 GROW TECH,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sutton,99674,,,,,,,,,2023-08-12T10:49:50.664362
10239,1033613,ALASKA RUSTIC LLC,Limited Marijuana Cultivation Facility,Active-Operating,ALASKA RUSTIC LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Bird Creek ,99540,184 Ray Halla Ln,Anchorage Municipality,60.9723558,-149.4451262,,,,,2023-08-12T10:49:50.664362
