license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License Number,Address,Zipcode,Microbials,Mycotoxins,Residual Solvents,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
403-02010,SHINING MOUNTAIN LLC,SHINING MOUNTAIN LLC,5564 County Road 23,Ridgway,81432,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-02010,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01300,P2C3 LLC,SPRINGS DISPO,3286 North El Paso Street,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01300,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00430,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,6345 East Platte Avenue,Colorado Springs,80915,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00430,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01871,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,1001 South Royer Street ,Colorado Springs,80903,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01871,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01969,MR PARACHUTE LLC,MR PARACHUTE LLC,0929 G County Road 215,Parachute,81635,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01969,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-02021,ELATION LLC,ELATION LLC,5066 North County Road 112,Mosca,81146,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-02021,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00786,DURANGO ORGANICS LLP,DURANGO ORGANICS LLP,12929 US Highway 550 South,Durango,81303,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00786,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01613,8058 LLC,Mighty Tree,4755 North Lipan Street,Denver,80211,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01613,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01660,TROY ENTERPRISES LLC,ELEVATIONS,8270 Razorback Road,Colorado Springs,80920,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01660,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01729,OIL WELL INDUSTRIES LLC,The Oil Well,1507 Dustry Drive,Colorado Springs,80905,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01729,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01656,NUVUE PHARMA LLC,NUVUE PHARMA LLC,4740 Dillon Drive,Pueblo,81008,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01656,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01838,PURE MEDICAL LLC,Pure,440 8th Street,Penrose,81240,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01838,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01617,BIG MOUNTAIN ORGANICS LLC,Big Medicine Cannabissary,2901 North El Paso Street,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01617,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01817,LBW CONSULTING GROUP LLC,Seed & Smith,5070 North Oakland Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01817,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01793,PNP VENTURES LLC,HEADMASTER,319 Bonfoy Avenue,Colorado Springs,80909,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01793,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01650,MARI MEDS INC,MARI MEDS,223 East Moreno Avenue,Colorado Springs,80903,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01650,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01971,TY WEBB ENTERPRISES LLC,TY WEBB ENTERPRISES LLC,9792 East Hanover Court,Henderson,80640,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01971,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
