business_legal_name,business_dba_name,issue_date,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status,license_status_date,license_type,license_term,expiration_date,business_owner_name,business_structure,business_email,activity,parcel_number,id,business_image_url,business_website,premise_street_address,premise_city,premise_zip_code,business_phone,data_refreshed_date,premise_latitude,premise_longitude,premise_county
Rise,Rise,2019-08-22T00:00:00,284.000001-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,Illinois,Active,,Commercial - Retailer,,,,,,,,284.000001-AUDO,,,1325 Armour Boulevard,Mundelein,60060,(847) 616-8966,2023-07-28T13:32:56-05:00,42.2379754,-87.98398240000002,Lake County
Rise,Rise,2019-08-22T00:00:00,284.000002-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000002-AUDO,,,1627 Rock Creek Blvd.,Joliet,60431,(815) 773-9300,2023-07-28T13:32:56-05:00,41.491798,-88.17239900000001,Will County
Rise,Rise,2019-08-22T00:00:00,284.000003-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000003-AUDO,,,1700 Quincy Ave. #103,Naperville,60540,(630) 369-4000,2023-07-28T13:32:56-05:00,41.7744587,-88.1908547,DuPage County
Rise,Rise,2019-08-22T00:00:00,284.000005-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,Illinois,Active,,Commercial - Retailer,,,,,,,,284.000005-AUDO,,,3104 N. Main Street,Canton,61520,(309) 647-9333,2023-07-28T13:32:56-05:00,40.60011799999999,-90.0344176,Fulton County
Sunnyside*,Sunnyside,2019-10-15T00:00:00,284.000006-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000006-AUDO,,,1704 S Neil St. C,Champaign,61820,(217) 441-2076,2023-07-28T13:32:56-05:00,40.0959899,-88.2446338,Champaign County
Sunnyside*,Sunnyside,2019-10-15T00:00:00,284.000007-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000007-AUDO,,,2696 McFarland Rd,Rockford,61107,(815) 314-1900,2023-07-28T13:32:56-05:00,42.2997197,-88.9790048,Winnebago County
Sunnyside*,Sunnyside,2019-10-15T00:00:00,284.000008-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000008-AUDO,,,3524 N. Clark St.,Chicago,60657,(773) 698-8182,2023-07-28T13:32:56-05:00,41.9461189,-87.6561152,Cook County
Sunnyside*,Sunnyside,2019-10-15T00:00:00,284.000009-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000009-AUDO,,,830 Milwaukee Ave.,Buffalo Grove,60089,(224) 377-9734,2023-07-28T13:32:56-05:00,42.1670589,-87.92261839999999,Lake County
Sunnyside*,Sunnyside,2019-10-15T00:00:00,284.000010-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000010-AUDO,,,7955 W. Grand Ave.,Elmwood Park,60707,(708) 452-7688,2023-07-28T13:32:56-05:00,41.9267616,-87.82569269999999,Cook County
Mapleglen CareCenter,"Mapleglen Care
Center",2019-10-15T00:00:00,284.000011-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000011-AUDO,,,4777 Stenstrom Rd.,Rockford,61109,(779) 368-5154,2023-07-28T13:32:56-05:00,42.2244338,-89.0235769,Winnebago County
Dispensary33,Dispensary33,2019-11-06T00:00:00,284.000012-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000012-AUDO,,,5001 N. Clark St.,Chicago,60640,(312) 620-3333,2023-07-28T13:32:56-05:00,41.9726913,-87.66771589999999,Cook County
Maribis,Maribis,2019-11-06T00:00:00,284.0000013-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.0000013-AUDO,,,2451 Denver Dr.,Springfield,62702,(217)-503-4296,2023-07-28T13:32:56-05:00,39.8358669,-89.6036627,Sangamon County
Maribis,Maribis,2019-11-06T00:00:00,284.000014-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000014-AUDO,,,4570 S. Archer Ave.,Chicago,60632,(888) 888-5501,2023-07-28T13:32:56-05:00,41.8102838,-87.7110622,Cook County
Verilife,Verilife,2019-11-19T00:00:00,284.000016-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000016-AUDO,,,161 S. Lincolnway Ste 301,North Aurora,60542,(630) 264-0890,2023-07-28T13:32:56-05:00,41.7999981,-88.32420549999999,Kane County
Verilife,Verilife,2019-11-19T00:00:00,284.000017-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000017-AUDO,,,1816 S. Arlington Heights Rd.,Arlington Heights,60005,(847) 755-2992,2023-07-28T13:32:56-05:00,42.052865,-87.983468,Cook County
