business_website,business_email,business_legal_name,business_phone,id,license_status,business_dba_name,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_image_url,license_type,premise_latitude,premise_longitude,premise_county,premise_city,premise_street_address,data_refreshed_date
http://www.col-care.com/,chevychasemd@col-care.com,Columbia,301-637-0870,0,,Columbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0457549,-76.64127119999999,,"Maryland, USA",Maryland,2023-08-13T13:35:55.150759
http://www.greenlabsmd.com/,info@greenlabsmd.com,GreenLabs,410-624-5520,1,,GreenLabs,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2856532,-76.5959775,,Baltimore,1522 Eastern Ave,2023-08-13T13:35:55.150759
,,,,2,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3621968,-77.4242549,Frederick County,Frederick,4606 Wedgewood Blvd,2023-08-13T13:35:55.150759
https://www.gleaf.com/,patients@gleaf.com,Gleaf,800-208-9333,3,,Gleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0948128,-77.15386389999999,Montgomery County,Rockville,808 Hungerford Dr,2023-08-13T13:35:55.150759
https://www.zenleafdispensaries.com,maria.pinsky@zenleafdispensaries.com,Zenleafdispensaries,410-842-9333,4,,Zenleafdispensaries,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3993819,-76.6009361,Baltimore County,Towson,101 E Chesapeake Ave # 102,2023-08-13T13:35:55.150759
https://www.kipcan.com/,info@kipcan.com,Kipcan,410-403-0280,5,,Kipcan,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4631937,-76.6349607,Baltimore County,Cockeysville,9 Cranbrook Rd,2023-08-13T13:35:55.150759
http://www.missioncan.com/,support@missioncan.com,Mission,833-768-4357,6,,Mission,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,,,,,nan,2023-08-13T13:35:55.150759
,,,443-622-3661,7,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.08168209999999,-77.04493269999999,Montgomery County,MD 20906,Silver Spring,2023-08-13T13:35:55.150759
https://www.positiveenergyoc.com/,info@positiveenergyoc.com,Positiveenergyoc,410-877-2017,8,,Positiveenergyoc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.3376729,-75.13475439999999,Worcester County,Ocean City,9939 Jerry Mack Rd STE 500,2023-08-13T13:35:55.150759
https://www.remedycolumbia.com/,hello@remedycolumbia.com,Remedycolumbia,443-542-0948,9,,Remedycolumbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1909386,-76.8181249,Howard County,Columbia,8865 Stanford Blvd #131,2023-08-13T13:35:55.150759
https://www.revolutionreleaf.com/,info@revolutionreleaf.com,Revolutionreleaf,240-280-8446,10,,Revolutionreleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1112859,-76.8367336,Howard County,Laurel,9994 Washington Blvd N,2023-08-13T13:35:55.150759
https://www.starbuds.us/,baltimore@starbuds.us,Starbuds,443-438-7494,11,,Starbuds,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3471562,-76.5389108,,Baltimore,5975 Belair Rd,2023-08-13T13:35:55.150759
https://www.storehousemd.com/,info@storehousemd.com,Storehousemd,443-438-4160,12,,Storehousemd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3663493,-76.6479944,,Baltimore,5730 Falls Rd,2023-08-13T13:35:55.150759
https://www.b1md.com/,info@b1md.com,B1Md,301-774-0840,13,,B1Md,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1524378,-77.0678466,Montgomery County,Olney,18070 Georgia Ave,2023-08-13T13:35:55.150759
,,"Wright Wellness Group, LLC",,14,,"Wright Wellness Group, LLC",,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.947771,-76.7362674,Prince George's County,Bowie,4201 Northview Dr #100,2023-08-13T13:35:55.150759
https://www.greenhousewellness.com/,hello@greenhousewellnes.com,Greenhousewellness,833-325-2229,15,,Greenhousewellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.24259550000001,-76.83686130000001,Howard County,Ellicott City,4801 Dorsey Hall Dr #110,2023-08-13T13:35:55.150759
,,,,16,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.276562,-76.6130483,,Baltimore,35 E Cross St,2023-08-13T13:35:55.150759
https://www.peakreleaf.com/,info@peakreleaf.com,Peakreleaf,301-703-2400,17,,Peakreleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0584596,-77.1194374,Montgomery County,Rockville,2001 Chapman Ave,2023-08-13T13:35:55.150759
https://www.blairwellness.com/,melissa@blairwellness.com,Blairwellness,410-323-0100,18,,Blairwellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3608692,-76.61063209999999,,Baltimore,5806 York Rd,2023-08-13T13:35:55.150759
https://www.blueridgewellnessmd.com/,management%20@blueridgewellnessmd.com,Blueridgewellnessmd,301-640-5265,19,,Blueridgewellnessmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3927164,-76.52607379999999,Baltimore County,Parkville,9413 Harford Rd,2023-08-13T13:35:55.150759
https://www.somdrelief.com/,brittani@somdrelief.com,Somdrelief,301-242-3200,20,,Somdrelief,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.4396069,-76.73505,St. Mary's County,Mechanicsville,28105 Three Notch Rd,2023-08-13T13:35:55.150759
https://www.herbafi.com/,info@herbafi.com,Herbafi,,21,,Herbafi,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.9942478,-77.0289871,Montgomery County,Silver Spring,8413 Ramsey Ave,2023-08-13T13:35:55.150759
https://www.kannavis.org/,info@kannavis.org,Kannavis,301-810-2962,22,,Kannavis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3217086,-77.3599662,Frederick County,Frederick,8709 Fingerboard Rd,2023-08-13T13:35:55.150759
https://www.ncwmedical.com/,dbridges@ncwmedical.com,Ncwmedical,443-252-1383,23,,Ncwmedical,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.5777848,-76.0504776,Cecil County,Perryville,4925 Pulaski Hwy a,2023-08-13T13:35:55.150759
,,,,24,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.5937602,-76.9978448,Carroll County,Westminster,700 Corporate Center Ct k,2023-08-13T13:35:55.150759
,,,,25,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3277061,-76.6275485,,Baltimore,3317 Keswick Rd,2023-08-13T13:35:55.150759
https://www.libertycannabis.com/,hello@libertycannabis.com,Libertycannabis,301-603-2747,26,,Libertycannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.051414,-77.108876,Montgomery County,Rockville,12001 Nebel St,2023-08-13T13:35:55.150759
,,,,27,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3838606,-77.2586599,Frederick County,New Market,11717 Old National Pike,2023-08-13T13:35:55.150759
,,,,28,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.6304867,-78.74883849999999,Allegany County,Cumberland,1096 W Industrial Blvd,2023-08-13T13:35:55.150759
https://www.trilogy.health.com/,info@trilogyh.health.com,Trilogy,443-539-7372,29,,Trilogy,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2769755,-76.8317776,Howard County,Ellicott City,9291 Baltimore National Pike,2023-08-13T13:35:55.150759
https://culta.io/,,Culta,844-507-9333,30,,Culta,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2804566,-76.6102392,,Baltimore,215 Key Hwy,2023-08-13T13:35:55.150759
https://chesacanna.com/,%20info@chesacanna.com,Chesacanna,410-650-6555,31,,Chesacanna,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4769624,-76.64222319999999,Baltimore County,Cockeysville,10534 York Rd #101,2023-08-13T13:35:55.150759
http://www.findinghaven.com/,kim@findinghaven.com,Haven,240-650-0420,32,,Haven,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.6714632,-76.87797379999999,Prince George's County,Brandywine,7501 Clymer Dr,2023-08-13T13:35:55.150759
https://potomacholistics.com/,%20info@potomacholistics.com,Potomacholistics,240-654-5276,33,,Potomacholistics,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0993123,-77.2110384,Montgomery County,"Physicians Ln, Maryland 20850, USA",Physicians Ln,2023-08-13T13:35:55.150759
,,,,34,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2505488,-76.6683042,Baltimore County,Halethorpe,3531 Washington Blvd #112,2023-08-13T13:35:55.150759
,,,,35,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0542102,-77.1197521,Montgomery County,MD 20852,Rockville,2023-08-13T13:35:55.150759
