license_number,license_type,license_designation,business_legal_name,business_dba_name,license_status,premise_city,business_website,business_owner_name,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_structure,business_email,business_phone,activity,parcel_number,premise_street_address,id,business_image_url,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_zip_code
ACB106,Cultivation,Adult-Use,Green Alchemy Llc,Green Alchemy Llc,Pending Conditional,Fryeburg,,,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB106,,2023-07-01T00:00:00,44.0164329,-70.9806357,Oxford County,USA
ACA494,Cultivation,Adult-Use,Shauna Rae Tomlinson,Divine Buds,Active,Scarborough,,Shauna Rae Tomlinson,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA494,,2023-07-01T00:00:00,43.5901974,-70.33449209999999,Cumberland County,USA
ACA769,Cultivation,Adult-Use,"Moments Peace Farm, Llc",Moment'S Peace Craft Cannabis,Active,Hollis Center,www.momentspeacecraft.com,"P Joy R Cutrone, Member",MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA769,,2023-07-01T00:00:00,43.6346754,-70.62089739999999,York County,USA
ACA773,Cultivation,Adult-Use,Cultivators Unlimited Llc,Cultivators Unlimited Llc,Active,South Portland,www.southportland.org,Thomas J Patrick,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA773,,2023-07-01T00:00:00,43.6414716,-70.2408811,Cumberland County,USA
ACA793,Cultivation,Adult-Use,Belvidere Farm Llc,Belvidere Farm Llc,Active,Rockland,belvidere.farm,Jacob St. Pierre,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA793,,2023-07-01T00:00:00,44.1036914,-69.1089293,Knox County,USA
ACA1207,Cultivation,Adult-Use,Maine Grown Llc,Maine Grown Llc,Active,Poland,WWW.MAINEGROWN.FARM,Nicholas C Morton,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1207,,2023-07-01T00:00:00,44.0606281,-70.39366749999999,Androscoggin County,USA
ACA1270,Cultivation,Adult-Use,Pegasus Growers Llc,Pegasus Growers Llc,Conditional,Gorham,,Roy B Waller,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1270,,2023-07-01T00:00:00,43.67953139999999,-70.44422519999999,Cumberland County,USA
ACA1282,Cultivation,Adult-Use,"B4Lgroup, Llc","B4Lgroup, Llc",Conditional,Washington,,Thomas Van Nguyen,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1282,,2023-07-01T00:00:00,44.2735583,-69.3676576,Knox County,USA
ACA1290,Cultivation,Adult-Use,Tribute Cannabis Company,Tribute Cannabis Company,Active,Topsham,,Ryan Holmes,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1290,,2023-07-01T00:00:00,43.9275435,-69.9759459,Sagadahoc County,USA
ACA1294,Cultivation,Adult-Use,Mullein Meadows L.L.C,Mullein Meadows L.L.C,Conditional,Auburn,,Danielle Edwards-Plane,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1294,,2023-07-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
ACA1304,Cultivation,Adult-Use,420 Ship Rec'D Grow Llc,420 Ship Rec'D Grow Llc,Active,Mechanic Falls,420 pharma.com,Robert Klar,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1304,,2023-07-01T00:00:00,44.1117418,-70.3917985,Androscoggin County,USA
ACA1322,Cultivation,Adult-Use,Simple Twist Cannabis Company,Simple Twist Cannabis Company,Conditional,Madison,,Daniel Price Safranec,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1322,,2023-07-01T00:00:00,44.7975466,-69.8797486,Somerset County,USA
ACA1381,Cultivation,Adult-Use,Kush Kingdom Llc,Kush Kingdom Llc,Pending Conditional,Limestone,,Melody Mcclendon,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1381,,2023-07-01T00:00:00,46.90860230000001,-67.825816,Aroostook County,USA
ACA1410,Cultivation,Adult-Use,"Evolution Herb Co., Llc",Buzzies,Conditional,Solon,,Julie Parenteau,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1410,,2023-07-01T00:00:00,44.949502,-69.85839100000001,Somerset County,USA
ACA1480,Cultivation,Adult-Use,Grown Empire Llc,Grown Empire Llc,Pending Conditional,Steuben,,Chelsa Lee,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1480,,2023-07-01T00:00:00,44.5107169,-67.9652562,Washington County,USA
