Medical ,activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code,medical
,,ü,"BD Health Ag 3, LLC",,"BD Health Ag 3, LLC",Mark Hendren,417-850-9999,,Polk County,2023-08-13T17:09:14.911264,,CUL000001,,adult-use,CUL000001,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 65674,Polk County,37.7944806,-93.57798149999999,MO,65674,
,,ü,Focus Partners - Kansas City LLC,,Focus Partners - Kansas City LLC,Krystal Wright,816-588-8838,,Jackson County,2023-08-13T17:09:14.911264,,CUL000002,,adult-use,CUL000002,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 64147,,38.8524485,-94.5469705,MO,64147,
,,ü,"Bootheel CannaCare Columbia, LLC",,"Bootheel CannaCare Columbia, LLC",Lori Garrett,573-359-4963,,Boone County,2023-08-13T17:09:14.911264,,CUL000003,,adult-use,CUL000003,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,Columbia,Boone County,38.9451555,-92.2956971,MO,65202,
,,ü,"BD Health Ag 2, LLC",,"BD Health Ag 2, LLC",Mark Hendren,417-850-9999,,Polk County,2023-08-13T17:09:14.911264,,CUL000004,,adult-use,CUL000004,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 65674,Polk County,37.7944806,-93.57798149999999,MO,65674,
,,ü,Focus Partners - Kansas City LLC,,Focus Partners - Kansas City LLC,Krystal Wright,816-588-8838,,Jackson County,2023-08-13T17:09:14.911264,,CUL000005,,adult-use,CUL000005,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,Grandview,Jackson County,38.8892509,-94.53590539999999,MO,64030,
,,ü,"Vertical Enterprise, LLC",,"Vertical Enterprise, LLC",Andrew Goodwin,816-582-3459,,Buchanan County,2023-08-13T17:09:14.911264,,CUL000006,,adult-use,CUL000006,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,St Joseph,Buchanan County,39.774855,-94.80387619999999,MO,64507,
,,ü,1913 Valdalia LLC,,1913 Valdalia LLC,Nathaniel Kurash,216-577-9178,,Audrain County,2023-08-13T17:09:14.911264,,CUL000007,,adult-use,CUL000007,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 63382,Audrain County,39.3108745,-91.48848869999999,MO,63382,
,,ü,Agri-Genesis LLC,,Agri-Genesis LLC,Neal Minor,660-851-1660,,Macon County,2023-08-13T17:09:14.911264,,CUL000008,,adult-use,CUL000008,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,Macon,Macon County,39.7662896,-92.455834,MO,63552,
,,ü,"BD Health Ag 1, LLC",,"BD Health Ag 1, LLC",Mark Hendren,417-850-9999,,Polk County,2023-08-13T17:09:14.911264,,CUL000009,,adult-use,CUL000009,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 65674,Polk County,37.7944806,-93.57798149999999,MO,65674,
,,ü,"Organic Remedies MO, Inc.",,"Organic Remedies MO, Inc.",,573-279-4020,,Scott County,2023-08-13T17:09:14.911264,,CUL000010,,adult-use,CUL000010,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 63740,Scott County,37.1800513,-89.65508960000001,MO,63740,
,,ü,"Sunrise Beach GP, LLC",,"Sunrise Beach GP, LLC",,866-217-4063,,Camden County,2023-08-13T17:09:14.911264,,CUL000011,,adult-use,CUL000011,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 65079,Camden County,38.1758645,-92.7843553,MO,65079,
,,ü,Agri-Genesis LLC,,Agri-Genesis LLC,Neal Minor,660-851-1660,,Macon County,2023-08-13T17:09:14.911264,,CUL000013,,adult-use,CUL000013,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,Macon,Macon County,39.7662896,-92.455834,MO,63552,
,,ü,Blue Arrow Holdings LLC,,Blue Arrow Holdings LLC,Zach  Voudrie,314-359-1987,,St. Louis city,2023-08-13T17:09:14.911264,,CUL000015,,adult-use,CUL000015,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147,
ü,,,"VMO-Ops, Inc.",,"VMO-Ops, Inc.",Jamil Taylor,240-418-2120,,St. Louis city,2023-08-13T17:09:14.911264,,CUL000016,,adult-use,CUL000016,Inactive,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 63120,,38.6893721,-90.266699,MO,63120,
,,ü,BeLeaf Medical LLC,,BeLeaf Medical LLC,Kevin Riggs,636-448-6021,,Montgomery County,2023-08-13T17:09:14.911264,,CUL000017,,adult-use,CUL000017,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 63351,Montgomery County,38.8533773,-91.3059895,MO,63351,
,,ü,Blue Arrow Holdings LLC,,Blue Arrow Holdings LLC,Zach Voudrie,314-359-1987,,St. Louis city,2023-08-13T17:09:14.911264,,CUL000018,,adult-use,CUL000018,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147,
,,ü,OXG LLC,,OXG LLC,Michele Bowman,314-550-5269,,Jackson County,2023-08-13T17:09:14.911264,,CUL000019,,adult-use,CUL000019,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 64058,,39.1686419,-94.30515419999999,MO,64058,
,,ü,Focus Partners Manchester LLC,,Focus Partners Manchester LLC,Krystal Wright,816-588-8838,,Jackson County,2023-08-13T17:09:14.911264,,CUL000020,,adult-use,CUL000020,Active,,,cultivation,Missouri Department of Health and Senior Services,MDHSS,,MO 64130,Jackson County,39.0345609,-94.55212739999999,MO,64130,
