premise_city,license_designation,business_legal_name,business_phone,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_type,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_email,business_image_url,business_dba_name,premise_street_address,premise_county,premise_zip_code,premise_latitude,premise_longitude,business_website,data_refreshed_date
Anaconda,Adult Use,Remedy Medicinals LLC,(406) 490-9298,0,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Remedy Medicinals LLC,910 E Commercial Ave,Deer Lodge County,59711,46.1286069,-112.9408351,https://www.remedymontana.com/,2023-08-13T17:29:48.963785
Arlee,Adult Use,The Hi-Line Company-Arlee,(406) 239-7292,1,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Hi-Line Company-Arlee,92492 US-93,Lake County,59821,47.1621193,-114.0845711,https://hi-line.co/?utm_source=GMBListing&utm_medium=organic,2023-08-13T17:29:48.963785
Arlee,Adult Use,Tsb Montana Arlee,(406) 223-6916,2,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Tsb Montana Arlee,71972 Bitterroot Jim Rd,Lake County,59821,47.1685052,-114.0904835,http://www.cskthealth.org/index.php/locations/arlee-health-center,2023-08-13T17:29:48.963785
Ashland,Adult Use,Ashland,(406) 459-2618,3,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ashland,,Rosebud County,59003,45.6067568,-106.2849802,,2023-08-13T17:29:48.963785
Ashland,Adult Use,High Mountain - Ashland,(406) 670-6325,4,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,High Mountain - Ashland,107 Main St,Rosebud County,59003,45.589361,-106.2626306,http://www.highmountainmt.com/,2023-08-13T17:29:48.963785
Ashland,Adult Use,Ninepipe Organics,(406) 690-1467,5,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ninepipe Organics,,,,,,,2023-08-13T17:29:48.963785
Baker,Medical Only,Better Daze LLC,(406) 941-1191,6,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Better Daze LLC,236 Shopping Center Drive,Fallon County,59313,46.3653073,-104.2750808,,2023-08-13T17:29:48.963785
Belgrade,Adult Use,Juniper Naturals LLC,(406) 600-2553,7,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Juniper Naturals LLC,5174 Jackrabbit Ln,Gallatin County,59714,45.7461541,-111.1842637,https://www.junipercannabis.com/,2023-08-13T17:29:48.963785
Belgrade,Adult Use,Natural Wellness LLC,(406) 539-5354,8,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Natural Wellness LLC,5176 Jackrabbit Ln,Gallatin County,59714,45.746821,-111.18359,http://www.naturalwellnessmontana.com/,2023-08-13T17:29:48.963785
Belgrade,Adult Use,Nomad Canna Belgrade Store,(406) 788-6173,9,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Nomad Canna Belgrade Store,23 High K St ste b,Gallatin County,59714,45.7752343,-111.2273549,http://www.nomadcannamt.com/,2023-08-13T17:29:48.963785
