business_dba_name,premise_street_address,premise_city,premise_state,premise_zip_code,premise_county,business_phone,license_type,business_website,premise_longitude,premise_latitude,business_legal_name,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,id,license_number,license_status,data_refreshed_date
Apothecarium Dispensary,200 Nj-17,Lodi,NJ,07644,Bergen,(862) 910-2420,Medicinal and Recreational,https://apothecariumnj.com/lodi/,-74.066849,40.882884,Apothecarium Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Apothecarium Dispensary,55 South Main St.,Phillipsburg,NJ,08865,Warren,(908) 777-7420,Medicinal and Recreational,https://apothecariumnj.com/phillipsburg/,-75.201923,40.690754,Apothecarium Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Apothecarium Dispensary,1865 Springfield Avenue,Maplewood,NJ,07040,Essex,(973) 996-1420,Medicinal and Recreational,https://apothecariumnj.com/maplewood/,-74.269284,40.720772,Apothecarium Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Ascend,461-469 West State Street,Fort Lee,NJ,07024,Bergen,(973) 200-7696,Medicinal and Recreational,http://letsascend.com,-73.972432,40.859574,Ascend,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Ascend,174 Route 17 North,Rochelle Park,NJ,07662,Bergen,(973) 500-6825,Medicinal and Recreational,http://letsascend.com,-74.071966,40.903839,Ascend,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Ascend,395 Bloomfield Ave,Montclair,NJ,07042,Essex,(973) 337-5670,Medicinal and Recreational,http://letsascend.com,-74.216017,40.812663,Ascend,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Ayr Wellness,2536 Rt 22,Union,NJ,07083,Union,(848) 999-2005,Medicinal and Recreational,https://gardenstatedispensary.com/locations/union/,-74.301325,40.689168,Ayr Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Ayr Wellness,59 Nj-35,Eatontown,NJ,07724,Monmouth,(848) 999-2005,Medicinal and Recreational,https://gardenstatedispensary.com/locations/eatontown/,-74.060734,40.305806,Ayr Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Ayr Wellness,950 Us Highway 1 North,Woodbridge,NJ,07095,Middlesex,(848) 999-2005,Medicinal and Recreational,https://gardenstatedispensary.com/locations/woodbridge/,-74.295474,40.56847,Ayr Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
BLOC (formerly JG New Jersey),1075 Easton Ave,Somerset,NJ,08873,Somerset,(973) 494-8499,Medicinal and Recreational,https://www.blocdispensary.com/,-74.48836,40.51664,BLOC (formerly JG New Jersey),NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
BLOC (formerly Justice Grown),1761 North Olden Avenue,Ewing,NJ,08638,Mercer,(973) 494-8499,Medicinal and Recreational,https://www.blocdispensary.com/,-74.770549,40.248342,BLOC (formerly Justice Grown),NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
"Botanist, The",2090 N Blackhorse Pike,Williamstown,NJ,08094,Camden,(856) 478-3530,Medicinal and Recreational,https://www.shopbotanist.com/locations/williamstown/,-75.022425,39.71909,"Botanist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
"Botanist, The",100 Century Drive,Egg Harbor Township,NJ,08234,Atlantic,(609) 277-7547,Medicinal and Recreational,https://www.shopbotanist.com/locations/egg-harbor-township/,-74.554995,39.41918,"Botanist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
