business_legal_name,license_type,license_status,license_number,issue_date,expiration_date,business_owner_name,business_email,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,business_image_url,business_website,business_phone,id,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_city,premise_zip_code
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-001,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-001,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-002,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-002,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-003,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-003,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-004,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-004,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-005,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-005,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-006,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-006,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-007,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-007,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-008,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-008,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-009,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-009,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"RMC NM, Inc.",Cannabis Retailer,Active,CCD-2022-0181-010,3/23/2022,3/23/2024,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-010,"RMC NM, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
NIRVANA NM LLC,Cannabis Retailer,Active,CCD-2022-0086-001,2/24/2022,2/24/2024,"SHERAZ WARRAICH, SARAH WARRAICH",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0086-001,NIRVANA NM LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"420 Tea Time, LLC",Cannabis Retailer,Active,CCD-2022-0518-001,6/17/2022,6/17/2023,Christa Tyler,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0518-001,"420 Tea Time, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Vana Society LLC,Cannabis Retailer,Active,CCD-2022-0064-001,2/9/2022,2/9/2024,"Riddhi Bhakta, Parin Kumar",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0064-001,Vana Society LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Arrive,Cannabis Retailer,Active,Premises License,2/8/2022,2/8/2024,Robin Fellers,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Arrive,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
The Green Matrix,Cannabis Retailer,Active,Premises License,4/4/2022,4/4/2024,"Gary Clements, Thomas Moore, Pamela Moore",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,The Green Matrix,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"Green World Taos, Inc.",Cannabis Retailer,Active,CCD-2022-0171-001,3/22/2022,3/22/2024,"Leonard Garcia, Adrian Maestas",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0171-001,"Green World Taos, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Bloom Management Group LLC,Cannabis Retailer,Active,CCD-2022-0244-001,4/4/2022,4/4/2024,"Travaughn Colwell, Tyson Anderson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0244-001,Bloom Management Group LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"Mercan Dreams, LLC",Cannabis Retailer,Active,CCD-2022-0355-001,4/26/2022,4/26/2023,"Damian Sanchez, Oumaru Saho, Marc Davy, Tyler Davy, Cristobal Sanchez, Damian Sanchez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0355-001,"Mercan Dreams, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Skarsgard Farms,Cannabis Retailer,Active,CCD-2022-0119-001,3/13/2022,3/13/2024,Andrew Skarsgard,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0119-001,Skarsgard Farms,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Healthy Education Society,Cannabis Retailer,Active,Premises License,9/20/2021,9/20/2023,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Healthy Education Society,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
ALL IN 107 MAIN ST LLC,Cannabis Retailer,Active,CCD-2022-0118-001,3/13/2022,3/13/2024,Gregory Seale,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0118-001,ALL IN 107 MAIN ST LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
High Timez of Santa Fe,Cannabis Retailer,Active,Premises License,4/26/2022,4/26/2024,Noreen Quintana,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Timez of Santa Fe,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Thrive Apothecary NM LLC,Cannabis Retailer,Active,Premises License,1/18/2022,1/18/2024,Christopher Mcginnis,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Thrive Apothecary NM LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Happy Smiles LLC,Cannabis Retailer,Active,Premises License,4/26/2022,4/26/2024,Larry Burns,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Happy Smiles LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"CCC Holdings, LLC",Cannabis Retailer,Active,CCD-2022-0067-001,2/10/2022,2/10/2024,"Jessie Willett, John Battle",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0067-001,"CCC Holdings, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
May Flower,Cannabis Retailer,Active,CCD-2022-0223-001,3/27/2022,3/27/2024,Amy Embick,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0223-001,May Flower,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"MasBuds, LLC",Cannabis Retailer,Active,CCD-2022-0257-001,4/4/2022,4/4/2024,"Ronald Bender, Maria Munitor Bender",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0257-001,"MasBuds, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Tsimayo LLC,Cannabis Retailer,Active,Premises License,5/18/2022,5/18/2024,Dennis Garcia,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Tsimayo LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Mountain High Express,Cannabis Retailer,Active,Premises License,2/19/2022,2/19/2024,Kristine Sliger,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Mountain High Express,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"Got Greens, LLC",Cannabis Retailer,Active,CCD-2022-0137-001,3/17/2022,3/17/2024,"Adan Tesch, Robert Ganster, Amar Tesch",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0137-001,"Got Greens, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Smokal Smoke Local,Cannabis Retailer,Active,CCD-2022-0300-001,4/14/2022,4/14/2024,"Chris Gabaldon, Jay Peters",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0300-001,Smokal Smoke Local,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Cardiel Botanica Ltd. Co.,Cannabis Retailer,Active,Premises License,5/27/2022,5/27/2024,Gabriel Cardiel,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Cardiel Botanica Ltd. Co.,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Cardiel Botanica Ltd. Co.,Cannabis Retailer,Active,CCD-2022-0453-002,5/27/2022,5/27/2024,Gabriel Cardiel,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0453-002,Cardiel Botanica Ltd. Co.,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Laughing Leaf Dispensary,Cannabis Retailer,Active,CCD-2022-0220-001,3/27/2022,3/27/2024,"Cheryl Miller, Harold Wilson, Cheryl Miller, Cheryl Miller",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0220-001,Laughing Leaf Dispensary,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Laughing Leaf Dispensary,Cannabis Retailer,Active,CCD-2022-0220-002,3/27/2022,3/27/2024,"Cheryl Miller, Harold Wilson, Cheryl Miller, Cheryl Miller",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0220-002,Laughing Leaf Dispensary,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Chronic Kings LLC,Cannabis Retailer,Active,Premises License,4/23/2022,4/23/2024,"Dominic Holguin, Jose Vialpando, Dominic Holguin, Antonio Vialpando",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Chronic Kings LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Sawmill Cannabis Company LLC,Cannabis Retailer,Active,CCD-2022-0084-001,2/24/2022,4/30/2023,Christopher Tapia,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0084-001,Sawmill Cannabis Company LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
M THOMAS LLC,Cannabis Retailer,Active,Premises License,6/7/2022,6/7/2023,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,M THOMAS LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
CMC Cannabis Dispensary LLC,Cannabis Retailer,Active,CCD-2022-0618-001,7/13/2022,7/13/2023,Mikkicee Manning,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0618-001,CMC Cannabis Dispensary LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Urban Wellness,Cannabis Retailer,Active,Premises License,9/20/2021,9/20/2023,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Urban Wellness,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Ricardo O Wilson,Cannabis Retailer,Active,Premises License,4/27/2022,4/27/2024,Ricardo Wilson,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Ricardo O Wilson,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Raminder S. Aulakh,Cannabis Retailer,Active,CCD-2022-0179-001,3/23/2022,3/23/2024,Ray Aulakh,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0179-001,Raminder S. Aulakh,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
New Mexico Top Organics Ultra Health Inc,Cannabis Retailer,Active,Premises License,9/20/2021,9/20/2023,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,New Mexico Top Organics Ultra Health Inc,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
