business_email,business_legal_name,business_phone,county,data_refreshed_date,license_number,premise_state,activity,analyses,business_dba_name,business_image_url,business_structure,expiration_date,id,issue_date,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_street_address
,Royal Leaf NY LLC,,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-23-000015,NY,,,,,,,,,,,,,,,,,,,
don@upstate-canna.co,D-Andrews,(518) 280-4289,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-23-000005,NY,,,,,,,,,,,,,,,,,,,
mirk@stageonedispensary.com,Stage One Cannabis LLC,518-488-4997,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-23-000011,NY,,,,,,,,,,,,,,,,,,,
mike@flynnstoned.com,FLYNNSTONED CORPORATION,,Central NY,2023-09-20T07:12:07.681349,OCM-CAURD-23-000010,NY,,,,,,,,,,,,,,,,,,,
,Strain Stars LLC,,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2023-000022,NY,,,,,,,,,,,,,,,,,,,
HighRoadHoldings@gmail.com,Dazed,(954) 350-1300,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-23-000008,NY,,,,,,,,,,,,,,,,,,,
,"The Doe Store LLC (“Union Square
Travel Agency”)",,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-23-000003,NY,,,,,,,,,,,,,,,,,,,
"GothamCAURDLLC@gmail.co
m",GOTHAM CAURD LLC,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-23-00009,NY,,,,,,,,,,,,,,,,,,,
Budmaster@hwcannabis.co,"Housing Works Cannabis, LLC",,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-22-000001,NY,,,,,,,,,,,,,,,,,,,
,Smacked,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-23-000002,NY,,,,,,,,,,,,,,,,,,,
mj@goodgradesnyc.com,Good Grades LLC,(212) 845-9912,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-23-000007,NY,,,,,,,,,,,,,,,,,,,
Public@justbreathelife.org,On Point Cannabis Inc.,,Southern Tier,2023-09-20T07:12:07.681349,OCM-CAURD-23-000004,NY,,,,,,,,,,,,,,,,,,,
"whhomeimprovements@gmail.
com",William Durham,(607) 348-4471,Southern Tier,2023-09-20T07:12:07.681349,OCM-CAURD-23-000006,NY,,,,,,,,,,,,,,,,,,,
https://sacred-bloom.com/,Exscape Inc.,,Southern Tier,2023-09-20T07:12:07.681349,OCM-CAURD-23-000014,NY,,,,,,,,,,,,,,,,,,,
,Dank 716,,Western NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000251,NY,,,,,,,,,,,,,,,,,,,
,Herbal IQ,,Western NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000025,NY,,,,,,,,,,,,,,,,,,,
,"Capital District Cannabis &
Wellness Inc.*",,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000011,NY,,,,,,,,,,,,,,,,,,,
,Exscape Inc.*,,Southern Tier,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000038,NY,,,,,,,,,,,,,,,,,,,
,Polanco Brothers Corp.*,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000099,NY,,,,,,,,,,,,,,,,,,,
Info@niceyield.nyc,"Steven Steals & Co. LLC/Nice
Yield*",(917) 374-3884,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000129,NY,,,,,,,,,,,,,,,,,,,
lyftedessentials@gmail.com,"Lyfted Essentials, LLC*",,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000133,NY,,,,,,,,,,,,,,,,,,,
,Nube NYC LLC*,,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000157,NY,,,,,,,,,,,,,,,,,,,
Lukecloudinc@gmail.com,"Luke Cloud, Inc.*",(718) 530-4622,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000195,NY,,,,,,,,,,,,,,,,,,,
,Top Shelf Aficionados Inc.*,,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000216,NY,,,,,,,,,,,,,,,,,,,
,Thinc Provisions Inc.*,,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000220,NY,,,,,,,,,,,,,,,,,,,
Gabbysgreenllc@gmail.com,Gabbys Green LLC*,(631) 896-6748,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000234,NY,,,,,,,,,,,,,,,,,,,
essentialflowers@yahoo.com,Essential Flowers*,(518) 521-9142,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000253,NY,,,,,,,,,,,,,,,,,,,
,Air City Cannabis LLC*,,Mohawk Valley,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000260,NY,,,,,,,,,,,,,,,,,,,
starkz10@aol.com,Brian Stark Enterprises LLC*,(516) 606-8933,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000274,NY,,,,,,,,,,,,,,,,,,,
,Pure Blossoms LLC*,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000279,NY,,,,,,,,,,,,,,,,,,,
Achomes1821@icloud.com,Grass Express*,(631) 965-4013,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000281,NY,,,,,,,,,,,,,,,,,,,
,Strain Stars LLC*,,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000326,NY,,,,,,,,,,,,,,,,,,,
,T&C Distribution LLC*,,,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000356,NY,,,,,,,,,,,,,,,,,,,
halfislandflavors@gmail.com,Half Island Flavors LLC*,NA,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000358,NY,,,,,,,,,,,,,,,,,,,
h.bonilla1@icloud.com,Diamond Dispensary LLC*,(718) 662-3633,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000374,NY,,,,,,,,,,,,,,,,,,,
,Brent L Rogers*,,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000387,NY,,,,,,,,,,,,,,,,,,,
hsingh@justaccountingny.com,Roots 13 LLC*,(347) 440-8434,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000390,NY,,,,,,,,,,,,,,,,,,,
culturehouse001@gmail.com,Culture House*,(347) 362-4184,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000402,NY,,,,,,,,,,,,,,,,,,,
ecosesh@gmail.com,Eco Sesh*,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000409,NY,,,,,,,,,,,,,,,,,,,
,"Ten Cees, LLC*",,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000414,NY,,,,,,,,,,,,,,,,,,,
,Indoor Treez Corp.*,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000417,NY,,,,,,,,,,,,,,,,,,,
,Growth Industries Inc.*,,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000460,NY,,,,,,,,,,,,,,,,,,,
info@highestpeakny.com,The Highest Peak*,NA,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000509,NY,,,,,,,,,,,,,,,,,,,
,Cal M Anderson III*,,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000521,NY,,,,,,,,,,,,,,,,,,,
,Royal Leaf NY LLC*,,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000548,NY,,,,,,,,,,,,,,,,,,,
,Keep It A 100 LLC*,,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000558,NY,,,,,,,,,,,,,,,,,,,
,"Advanced Institutional Support
Services LLC*",,Central NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000563,NY,,,,,,,,,,,,,,,,,,,
"WORLDWRESTLINGCOLLEC
TIBLES@GMAIL.COM",CGG ENTERPRISES INC*,(347) 676-7461,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000565,NY,,,,,,,,,,,,,,,,,,,
,Cured NY LLC*,,Mohawk Valley,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000579,NY,,,,,,,,,,,,,,,,,,,
NCRPlattsburgh@gmail.com,North County Roots Inc.*,(518) 565-0770,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000580,NY,,,,,,,,,,,,,,,,,,,
,Kush & Kemet LLC*,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000581,NY,,,,,,,,,,,,,,,,,,,
info@urbanweedsny.com,Urban Weeds LLC*,,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000589,NY,,,,,,,,,,,,,,,,,,,
Sohan23@gmail.com,"So Vapes & Accessories/Tricronic
Dispensary*",(718) 704-7753,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000608,NY,,,,,,,,,,,,,,,,,,,
,CWS Holdings I LLC*,,Southern Tier,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000609,NY,,,,,,,,,,,,,,,,,,,
Amychen_747@hotmail.com,Eastern Holdings 88*,(646) 639-8000,Richmond,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000610,NY,,,,,,,,,,,,,,,,,,,
Nicholaskoury01@gmail.com,Planet 51 LLC*,(332) 208-3185,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000624,NY,,,,,,,,,,,,,,,,,,,
Info@stageonedispensary.com,"Stage One Cannabis LLC DBA
Stage One Dispensary*",(518) 488-4997,Capital District,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000634,NY,,,,,,,,,,,,,,,,,,,
,Michael D Gant*,,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000682,NY,,,,,,,,,,,,,,,,,,,
,Suzanne M Furboter*,,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000686,NY,,,,,,,,,,,,,,,,,,,
"dcondliffe@communityalternati
ves.org","Center For Community Alternatives,
Inc.*",(917) 301-3939,Central NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000693,NY,,,,,,,,,,,,,,,,,,,
,Anthony Crapanzano*,,Richmond,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000714,NY,,,,,,,,,,,,,,,,,,,
Samjny22@gmail.com,Samjny*,(718) 717-6884,Richmond,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000724,NY,,,,,,,,,,,,,,,,,,,
kushmartny@gmail.com,Kushmart NY LLC*,(646) 894-4412,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000744,NY,,,,,,,,,,,,,,,,,,,
Joshc@unionchillcannabis.com,Union Chill Cannabis Company*,(607) 382-7385,Southern Tier,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000771,NY,,,,,,,,,,,,,,,,,,,
Nycc2.llc@gmail.com,NYCC 1 LLC*,NA,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000785,NY,,,,,,,,,,,,,,,,,,,
,CI Wonder Enterprises LLC*,,,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000787,NY,,,,,,,,,,,,,,,,,,,
shivawn@justicecannabisco.co,Natural Wonder Cannabis*,(707) 479-1471,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000809,NY,,,,,,,,,,,,,,,,,,,
,Hydro Phonics LLC*,,,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000834,NY,,,,,,,,,,,,,,,,,,,
,Jupitar Café*,,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000865,NY,,,,,,,,,,,,,,,,,,,
info@the420bliss.com,Humble County LLC*,(917) 346-7021,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000876,NY,,,,,,,,,,,,,,,,,,,
,BazzJAT Retail Inc.*,,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000879,NY,,,,,,,,,,,,,,,,,,,
amber.bennett.xo@gmail.com,Budding Industry Group*,(631) 943-0276,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000888,NY,,,,,,,,,,,,,,,,,,,
,,,,2023-09-20T07:12:07.681349,Provisionally Licensed As of 4/04/23,NY,,,,,,,,,,,,,,,,,,,
INFO@CONBUD.COM,"CONBUD, LLC*",(917) 327-2958,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000013,NY,,,,,,,,,,,,,,,,,,,
jennifer@jennifertzar.com,"Robin Hood Cannabis, LLC*",,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000023,NY,,,,,,,,,,,,,,,,,,,
Korey.rowe@gmail.com,"Dosha Farms, LLC*",1 (607) 437-4333,Mohawk Valley,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000040,NY,,,,,,,,,,,,,,,,,,,
"NEWAGEMNGMNT@AOL.CO
M","Happy Days Dispensary, Inc.*",1 (718) 749-2154,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000050,NY,,,,,,,,,,,,,,,,,,,
ashieka.moore@aol.com,Where’s My Lighter? LLC*,1 (631) 741-2385,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000059,NY,,,,,,,,,,,,,,,,,,,
Hippiegeo@gmail.com,"East Coast Psychedelics, Inc.*",1 (631) 493-9200,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000084,NY,,,,,,,,,,,,,,,,,,,
mpagan07@outlook.com,Michael Pagan*,1 (929) 403-7969,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000093,NY,,,,,,,,,,,,,,,,,,,
AlexanderKelch@aol.com,"Alexander Kelch, LLC*",1 (516) 308-4228,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000094,NY,,,,,,,,,,,,,,,,,,,
"seventhavecleaning@gmail.co
m","The Herbal Care THC, LLC*",1 (212) 470-2678,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000095,NY,,,,,,,,,,,,,,,,,,,
john@truegreenglobal.com,"Aprii, LLC*",1 (917) 355-3763,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000114,NY,,,,,,,,,,,,,,,,,,,
mreda1717@gmail.com,Heritage Gold & Silver*,1 (631) 875-8620,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000120,NY,,,,,,,,,,,,,,,,,,,
"Management@alittlebookingag
ency.com","Just a Little Higher, LLC*",1 (561) 617-4856,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000131,NY,,,,,,,,,,,,,,,,,,,
NONAMECANNABISCOMPAN,"No Name Graphics, LLC*",1 (518) 527-1199,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000134,NY,,,,,,,,,,,,,,,,,,,
berkaydev@gmail.com,"NC Accident Reports, LLC*",1 (516) 598-7753,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000144,NY,,,,,,,,,,,,,,,,,,,
gourmetbudz@gmail.com,"Gourmet Budz, LLC*",1 (347) 401-1905,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000146,NY,,,,,,,,,,,,,,,,,,,
joespizza32@gmail.com,"Joe’s Pizza and Redemption Center
Inc.*",1 (518) 307-7067,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000172,NY,,,,,,,,,,,,,,,,,,,
kushculturenyc@gmail.com,"Kush Culture Industry, LLC*",1 (718) 810-1937,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000173,NY,,,,,,,,,,,,,,,,,,,
dnassiri75@hotmail.com,"Legendary Bliss, LLC*",1 (949) 375-4734,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000182,NY,,,,,,,,,,,,,,,,,,,
jacknmc@aol.com,"Weeds R Us, Inc.*",1 (917) 682-7576,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000187,NY,,,,,,,,,,,,,,,,,,,
espinbenj@gmail.com,"Buds “R” Us, LLC*",1 (718) 902-2168,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000188,NY,,,,,,,,,,,,,,,,,,,
dwhite002@twcny.rr.com,"DLM Retail, LLC*",1 (315) 705-4231,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000196,NY,,,,,,,,,,,,,,,,,,,
joemicciulli@gmail.com,"Brain Bloom, LLC*",1 (516) 662-8319,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000202,NY,,,,,,,,,,,,,,,,,,,
