business_dba_name,premise_city,premise_county,premise_street_address,premise_zip_code,licensing_authority_id,licensing_authority,license_status,license_designation,premise_state,business_image_url,license_status_date,license_term,issue_date,expiration_date,business_email,business_owner_name,business_structure,business_website,activity,business_phone,parcel_number,business_legal_name,data_refreshed_date,license_number,license_type,id,premise_latitude,premise_longitude
420Ville,Huntington,Baker,210 W. Washington St.,97907,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,420VILLE,2023-05-02T00:00:00,050 10011127277,Recreational Retailer,050 10011127277,44.3510105,-117.2712209
Hotbox Farms,Huntington,Baker,120 E Washington St,97907,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HOTBOX FARMS,2023-05-02T00:00:00,050 100037147CC,Recreational Retailer,050 100037147CC,44.3511435,-117.2661845
Maks Oregon Llc,Milwaukie,Baker,2200 Mailwell Dr Suite 104 Room G,97222,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,MAKS OREGON LLC,2023-05-02T00:00:00,050 1022133081E,Recreational Retailer,050 1022133081E,45.45430469999999,-122.6397168
Sumpter Nugget,Sumpter,Baker,"160 N. Mill Street, Suite #102",97877,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,SUMPTER NUGGET,2023-05-02T00:00:00,050 10047883377,Recreational Retailer,050 10047883377,44.7464931,-118.2011676
Beatnick'S Finest,Corvallis,Benton,126 Sw Avery Ave,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BEATNICK'S FINEST,2023-05-02T00:00:00,050 101114443A4,Recreational Retailer,050 101114443A4,44.5516046,-123.2661049
Beaver Bowls,Corvallis,Benton,227 Sw 6Th St,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,BEAVER BOWLS,2023-05-02T00:00:00,050 100331502C1,Recreational Retailer,050 100331502C1,44.56358849999999,-123.2646114
Bloominati Cannabis Corp,Corvallis,Benton,240 Sw Washington Ave,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BLOOMINATI CANNABIS CORP,2023-05-02T00:00:00,050 101408643F8,Recreational Retailer,050 101408643F8,44.560046,-123.2623224
Cookies,Corvallis,Benton,255-257 Sw Madison Ave,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,COOKIES,2023-05-02T00:00:00,050 1007382E249,Recreational Retailer,050 1007382E249,44.5634798,-123.2609336
Green Room,Corvallis,Benton,2521 Nw 9Th St,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GREEN ROOM,2023-05-02T00:00:00,050 100297375C8,Recreational Retailer,050 100297375C8,44.5934651,-123.251627
Green Room (Campus),Corvallis,Benton,111 Nw 16Th St,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GREEN ROOM (CAMPUS),2023-05-02T00:00:00,050 10038995791,Recreational Retailer,050 10038995791,44.5678658,-123.2737373
Green Room (South),Corvallis,Benton,1665 Se 3Rd St,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN ROOM (SOUTH),2023-05-02T00:00:00,050 1015927ADFE,Recreational Retailer,050 1015927ADFE,44.5496791,-123.2650342
High Quality Compassion,Corvallis,Benton,1300 Nw 9Th St,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HIGH QUALITY COMPASSION,2023-05-02T00:00:00,050 100427322D0,Recreational Retailer,050 100427322D0,44.5785016,-123.2610087
High Quality Compassion,Corvallis,Benton,1435 Nw 9Th St.,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HIGH QUALITY COMPASSION,2023-05-02T00:00:00,050 100427322D0,Recreational Retailer,050 100427322D0,44.581089,-123.2585266
Marie Janes Cannabis Connection,Corvallis,Benton,568 Sw 3Rd St.,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MARIE JANES CANNABIS CONNECTION,2023-05-02T00:00:00,050 10046559560,Recreational Retailer,050 10046559560,44.5596547,-123.2638206
Miracle Greens,Corvallis,Benton,220 Nw 2Nd St,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,MIRACLE GREENS,2023-05-02T00:00:00,050 101273129B2,Recreational Retailer,050 101273129B2,44.5655742,-123.2594744
Mr. Nice Guy - 3Rd St,Corvallis,Benton,504 Nw 3Rd St,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MR. NICE GUY - 3RD ST,2023-05-02T00:00:00,050 1008848DCF8,Recreational Retailer,050 1008848DCF8,44.5685385,-123.2591208
Mr. Nice Guy Corvallis,Corvallis,Benton,687 Sw 15Th St.,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MR. NICE GUY CORVALLIS,2023-05-02T00:00:00,050 1004605A8E3,Recreational Retailer,050 1004605A8E3,44.56132059999999,-123.2739832
Nature'S Path,Corvallis,Benton,711 Nw 3Rd St.,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NATURE'S PATH,2023-05-02T00:00:00,050 10123020069,Recreational Retailer,050 10123020069,44.5699982,-123.2575647
Nw Advantage,Corvallis,Benton,119 Sw 4Th Street,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,NW ADVANTAGE,2023-05-02T00:00:00,050 100664391F4,Recreational Retailer,050 100664391F4,44.5641355,-123.2618291
Og Collective,Corvallis,Benton,414 Nw 4Th St,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,OG COLLECTIVE,2023-05-02T00:00:00,050 1016958498D,Recreational Retailer,050 1016958498D,44.5680279,-123.2605547
Sativa'S Place,Corvallis,Benton,1106 Nw Vanburen,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SATIVA'S PLACE,2023-05-02T00:00:00,050 10051701948,Recreational Retailer,050 10051701948,44.5684373,-123.2688236
Top Crop Cannabis,Corvallis,Benton,1945 Nw 9Th Street,97330,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TOP CROP CANNABIS,2023-05-02T00:00:00,050 10169436254,Recreational Retailer,050 10169436254,44.58765520000001,-123.2549736
Top Shelf Medicine 2,Corvallis,Benton,116 Sw 4Th St,97333,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TOP SHELF MEDICINE 2,2023-05-02T00:00:00,050 10091572D9A,Recreational Retailer,050 10091572D9A,44.5643325,-123.2626173
