business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
Epona Farms LLC,"
SCLT0015
",Adult-Use,"Salisbury, UK",0,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.068785,-1.794472,Wiltshire,"Salisbury, UK","Salisbury, UK"
Valley Organics LLC,"
SCLT0004
",Adult-Use,"Jeffersonville, IN, USA",1,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,38.2775702,-85.7371847,Clark County,"Jeffersonville, IN, USA","Jeffersonville, IN, USA"
"Clover Hill Cannabis, LLC","
SCLT0009
",Adult-Use,Strafford,2,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.8356198,-72.3662166,Orange County,South Strafford,VT
Duke's Diesel LLP,"
SCLT0013
",Adult-Use,"Essex, UK",3,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.57424469999999,0.4856781,Essex,"Essex, UK","Essex, UK"
"VT Green Castle Reserve, LLC (DBA - VT Green Castle)","
SCLT0023
",Adult-Use,,4,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"Craft Cannabis of Vermont, LLC","
SCLT0038
",Adult-Use,VT 05301,5,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"Justin's Craft Cannabis, LLC","
SCLT0016
",Adult-Use,,6,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Emerald Rose Farms LLC,"
SCLT0020
",Adult-Use,,7,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Top 1 Co.,"
SCLT0080
",Adult-Use,"Williston, ND 58801, USA",8,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,48.1469683,-103.6179745,Williams County,"Williston, ND 58801, USA","Williston, ND 58801, USA"
The Dank Closet,"
SCLT0136
",Adult-Use,,9,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"VVS Labs, LLC","
SCLT0062
",Adult-Use,Hartford,10,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.6489596,-72.3192579,Windsor County,White River Junction,VT
"Birdman Inc, Birdman Vermont","
SCLT0056
",Adult-Use,,11,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Phyto Physic LLC,"
SCLT0109
",Adult-Use,,12,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
RootLand Cannabis LLC,"
SCLT0135
",Adult-Use,,13,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
BIG Intelligence Group,"
SCLT0104
",Adult-Use,"Worcester, UK",14,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,52.193636,-2.221575,Worcestershire,"Worcester, UK","Worcester, UK"
Cognizant Sparks LLC,"
SCLT0187
",Adult-Use,,15,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Mad River Terps LLC,"
SCLT0086
",Adult-Use,VT,16,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.2272782,-73.05734269999999,Addison County,Starksboro,USA
RockLake,"
SCLT0108
",Adult-Use,,17,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Green Mountain Dreams LLC; Green Mountain Dreams,"
SCLT0118
",Adult-Use,,18,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Green Fish Family Farm LLC,"
SCLT0145
",Adult-Use,,19,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
SA Cultivation LLC,"
SCLT0134
",Adult-Use,"Plymouth, MA, USA",20,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.9584457,-70.6672621,Plymouth County,"Plymouth, MA, USA","Plymouth, MA, USA"
Crescent Moon Farm LLC,"
SCLT0151
",Adult-Use,Burke,21,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.64144170000001,-71.978707,Caledonia County,West Burke,05871
Dedicated,"
SCLT0137
",Adult-Use,VT,22,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.2056098,-73.2462341,Addison County,Ferrisburgh,USA
Florist VT LLC,"
SCLT0103
",Adult-Use,VT,23,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.2272782,-73.05734269999999,Addison County,Starksboro,USA
DBC LLC; High Altitude Cannabis (DBA),"
SCLT0162
",Adult-Use,"Hardwick, MA, USA",24,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.3490548,-72.1986558,Worcester County,"Hardwick, MA, USA","Hardwick, MA, USA"
