license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,cccupdatedate,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
Marijuana Retailer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281430,"The Green Harbor Dispensary, LLC",Provincetown,MA,02657,42.052094,-70.194697,29 Abbey Lane,,Middleborough,MA,02346,POINT (-70.301811 41.698999),POINT (-70.194697 42.0520939),29 Abbey Lane,,Middleborough,MA,02346,82-5108074,MRN281430,Wed Jul 01 2020 14:26:06 GMT-0400 (Eastern Daylight Time),Wed Jan 29 2020 00:00:00 GMT-0500 (Eastern Standard Time),Wed Sep 16 2020 12:41:11 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201920,RP201920,Minority-Owned Business,,,,Wed May 16 2018 10:53:55 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 12:45:18 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:54:14 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Nov 10 2023 03:00:00 GMT-0500 (Eastern Standard Time),79 Shank Painter Rd,N/A,Barnstable County,1500,10000,02657,Provincetown,Barnstable,41.698999,-70.301811,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281693,"HVV Massachusetts, Inc",Newburyport,MA,01950,42.801045,-70.8923,2 Opportunity Way,,Newburyport,MA,01950,POINT (-70.970827 42.635475),POINT (-70.892300 42.8010450),39 Country Club Road,,Ipswich,MA,01938,12-1234567,MPN281693,Fri Sep 20 2019 17:35:28 GMT-0400 (Eastern Daylight Time),Fri Jun 21 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 28 2020 15:59:49 GMT-0500 (Eastern Standard Time),True,,,,,,,,RP201813,Not a DBE,,,,Mon Jun 10 2019 10:48:55 GMT-0400 (Eastern Daylight Time),Thu Oct 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:40:37 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Feb 13 2024 03:00:00 GMT-0500 (Eastern Standard Time),2 Opportunity Way,N/A,Essex County,300,10000,01950,Newburyport,Essex,42.635475,-70.970827,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,General Applicant,COMMENCE OPS,COMMENCE OPS,10/20/2020,COMPLETE,MC281370,"1620 Labs, LLC",Athol,MA,01331,42.591896,-72.230635,1 Exchange Street,,Athol,MA,01331,POINT (-71.840209 42.329642),POINT (-72.230635 42.5918959),P.O. Box 480,,Athol,MA,01331,82-5412946,MCN281370,Sat Oct 27 2018 16:33:06 GMT-0400 (Eastern Daylight Time),Tue Aug 28 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Nov 26 2018 09:33:07 GMT-0500 (Eastern Standard Time),False,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",Indoor,"Tier 03: 10,001 to 20,000 sq. ft",Thu Mar 05 2020 03:00:00 GMT-0500 (Eastern Standard Time),Wed May 02 2018 19:15:21 GMT-0400 (Eastern Daylight Time),Wed Oct 31 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 20 2018 14:46:40 GMT-0500 (Eastern Standard Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Nov 26 2023 03:00:00 GMT-0500 (Eastern Standard Time),1 Exchange St,N/A,Worcester County,200,1250,01331,Athol,Worcester,42.329642,-71.840209,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Priority Review - Economic Empowerment Priority,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MC281629,"HOLYOKE GREEN GROWERS, LLC.",Holyoke,MA,01040,42.19586,-72.614538,60 Jackson St.,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 sargent st.,,Holyoke,MA,01040,82-5257334,MCN281629,Mon Jan 24 2022 12:39:16 GMT-0500 (Eastern Standard Time),Tue Dec 15 2020 10:45:45 GMT-0500 (Eastern Standard Time),,True,yes,EE202034,APPROVED,EE202034,EE202034,,,,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,Wed Jul 25 2018 16:50:29 GMT-0400 (Eastern Daylight Time),Fri Dec 03 2021 11:40:30 GMT-0500 (Eastern Standard Time),Mon Feb 14 2022 16:16:55 GMT-0500 (Eastern Standard Time),,,60 Jackson St,N/A,Hampden County,,,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5955,"Earth Well Delivery, Inc.",N/A,,N/A,,,526 Boston Post Road,,Wayland,MA,01778,,,526 Boston Post Road,,Wayland,MA,01778,87-3411655,PMDA5955,Thu Dec 09 2021 11:03:48 GMT-0500 (Eastern Standard Time),Thu Dec 02 2021 11:29:54 GMT-0500 (Eastern Standard Time),,False,,SE305214,,,,,,,Not a DBE,,,,Thu Nov 11 2021 09:37:27 GMT-0500 (Eastern Standard Time),Tue Dec 14 2021 11:05:24 GMT-0500 (Eastern Standard Time),Tue Dec 14 2021 11:07:54 GMT-0500 (Eastern Standard Time),Tue Dec 14 2021 03:00:00 GMT-0500 (Eastern Standard Time),Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Expedited Review - DBE Status,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MC283602,Sweetgrass Farms LLC,Plympton,MA,02367,41.947894,-70.770777,77 Spring Street,,Plympton,MA,02367,POINT (-70.818958 41.978877),POINT (-70.770776 41.9478939),605 Franklin Street,,Duxbury,MA,02332,86-2960821,MCN283602,Fri Oct 29 2021 08:18:46 GMT-0400 (Eastern Daylight Time),Tue Oct 12 2021 14:57:16 GMT-0400 (Eastern Daylight Time),,False,no,,,,,,,,Veteran-Owned Business,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Mon Sep 20 2021 12:39:43 GMT-0400 (Eastern Daylight Time),Fri Nov 05 2021 10:11:33 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 15:47:29 GMT-0500 (Eastern Standard Time),,,77 Spring St,N/A,Plymouth County,600,,02367,Plympton,Plymouth,41.978877,-70.818958,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283612,C3 Brands LLC,Orange,MA,01364,42.59721,-72.3032,"Lot 6E, R.W. Moore Drive",,Orange,MA,01364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),69 Hitchcock Lane,,Old Westbury,NY,11568,86-2225774,MCN283612,Thu Jan 06 2022 15:10:33 GMT-0500 (Eastern Standard Time),Thu Jan 06 2022 13:51:16 GMT-0500 (Eastern Standard Time),,False,no,,,,,,,,Not a DBE | Veteran-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Wed Sep 29 2021 17:41:45 GMT-0400 (Eastern Daylight Time),Fri Jan 14 2022 11:31:21 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:56:41 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,N/A,Franklin County,400,2500,01364,Orange,Franklin,42.587072,-72.573941,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,7/17/2023,COMPLETE,MP281746,"Pure Industries, Inc.",Lowell,MA,01851,42.624855,-71.352614,181 Stedman Street,Unit 14,Lowell,MA,01851,POINT (-71.275566 42.459085),POINT (-71.352614 42.6248549),181 Stedman Street,Unit 14,Lowell,MA,01851,32-0583822,MPN281746,Thu Apr 30 2020 19:33:55 GMT-0400 (Eastern Daylight Time),Mon May 18 2020 09:55:30 GMT-0400 (Eastern Daylight Time),Mon Sep 14 2020 11:04:33 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,,,Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 19 2019 22:30:06 GMT-0400 (Eastern Daylight Time),Thu Jul 23 2020 14:29:33 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:29:22 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),181 Stedman St,Unit 14,Middlesex County,1500,10000,01851,Lowell,Middlesex,42.459085,-71.275566,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,5/24/2021,COMPLETE,MR282925,Volcann LLC,Southampton,MA,01073,42.251548,-72.697697,15 College Highway,Unit G2,Southampton,MA,01073,POINT (-72.62073 42.322256),POINT (-72.697697 42.251548),5 Nicholas Lane,,Southampton,MA,01073,84-2171651,MRN282925,Mon Mar 23 2020 10:10:43 GMT-0400 (Eastern Daylight Time),Thu Feb 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),,False,,,,,,,,,Not a DBE,,,Fri Apr 16 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 12 2019 08:49:28 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 16:05:29 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 20 2023 03:00:00 GMT-0500 (Eastern Standard Time),15 College Hwy,Unit G2,Hampshire County,300,10000,01073,Southampton,Hampshire,42.322256,-72.62073,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284022,Pioneer Valley Trading Company LLC,Westfield,MA,01085,42.175493,-72.732806,104 Feeding Hills Road,,Southwick,MA,01077,POINT (-72.571312 42.12756),POINT (-72.732805 42.1754930),104 Feeding Hills Road,,Southwick,MA,01077,84-5131336,MRN284022,Tue Feb 08 2022 17:29:46 GMT-0500 (Eastern Standard Time),Fri Jan 07 2022 09:56:32 GMT-0500 (Eastern Standard Time),,False,no,,,,,,,,Veteran-Owned Business,,,,Mon Jan 11 2021 11:56:53 GMT-0500 (Eastern Standard Time),Wed Feb 09 2022 10:59:58 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:08:44 GMT-0400 (Eastern Daylight Time),Wed Jun 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),99 Medeiros Way,N/A,Hampden County,1500,10000,01085,Westfield,Hampden,42.12756,-72.571312,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
