application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,approved_license_stages,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_state,establishment_zipcode,premise_latitude,premise_longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,cccupdatedate,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,business_image_url,business_website,business_phone
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,3/7/2019,COMPLETE,MC281265,Patriot Care Corp,Lowell,MA,1852.0,42.628303,-71.317051,170 Lincoln Street,,Lowell,MA,1852.0,POINT (-71.275566 42.459085),POINT (-71.317051 42.6283030),70 Industrial Avenue East,Suite B,Lowell,MA,1852.0,46-3348302,MCN281265,Thu Jul 26 2018 08:32:26 GMT-0400 (Eastern Daylight Time),Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 07 2018 09:43:32 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201838,RPA201838,Not a DBE,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",Thu Jan 24 2019 03:00:00 GMT-0500 (Eastern Standard Time),Wed Apr 18 2018 20:05:50 GMT-0400 (Eastern Daylight Time),Tue Jul 31 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 06 2018 14:25:27 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 16 2024 04:00:00 GMT-0400 (Eastern Daylight Time),170 Lincoln St,,Middlesex County,600.0,12500.0,1852.0,Lowell,Middlesex,42.459085,-71.275566,Northeast,9/5/2023,Patriot Care Corp,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,2/12/2019,COMPLETE,MC281507,"Revolutionary Clinics II, Inc.",Fitchburg,MA,1420.0,42.581078,-71.820825,9 Bartlet Street,Suite 335,Andover,MA,1810.0,POINT (-71.840209 42.329642),POINT (-71.820824 42.5810779),9 Bartlet Street,Suite 335,Andover,MA,1810.0,26-3198554,MCN281507,Tue Aug 14 2018 13:30:09 GMT-0400 (Eastern Daylight Time),Wed Jul 25 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Nov 28 2018 11:32:39 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201849,RP201849,Not a DBE,Indoor,"Tier 08: 60,001 to 70,000 sq. ft",Thu Jan 24 2019 03:00:00 GMT-0500 (Eastern Standard Time),Thu May 31 2018 16:12:08 GMT-0400 (Eastern Daylight Time),Tue Aug 21 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 20 2018 14:54:11 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),1 Oak Hill Rd,Unit B,Worcester County,600.0,17500.0,1420.0,Fitchburg,Worcester,42.329642,-71.840209,Central MA,9/5/2023,"Revolutionary Clinics II, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Cultivator,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283866,FreeMarketMA LLC,Berkley,MA,2779.0,41.807051,-71.103628,118 Bayview Avenue,,Berkley,MA,2779.0,POINT (-71.102131 41.778329),POINT (-71.103628 41.8070510),401 Middle Road,,Acushnet,MA,2743.0,92-2240920,MCN283866,Tue Jun 13 2023 08:54:32 GMT-0400 (Eastern Daylight Time),Wed May 17 2023 12:31:03 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 12:30:56 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,Outdoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Sat Apr 29 2023 13:11:07 GMT-0400 (Eastern Daylight Time),Fri Jun 23 2023 11:37:14 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 11:40:23 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),118 Bayview Ave,,Bristol County,200.0,1250.0,2779.0,Berkley,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023,FreeMarketMA LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,7/1/2019,COMPLETE,MR281371,"Mass Alternative Care, Inc.",Chicopee,MA,1020.0,42.158155,-72.542677,1247 East Main Street,,Chicopee,MA,1020.0,POINT (-72.571312 42.12756),POINT (-72.542676 42.1581550),1247 East Main Street,,Chicopee,MA,1020.0,46-2915012,MRN281371,Wed Nov 07 2018 17:16:44 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Tue Jan 29 2019 11:07:12 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201836,RPA201836,Not a DBE,,,Thu Apr 04 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 02 2018 13:09:57 GMT-0400 (Eastern Daylight Time),Fri Nov 23 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jan 10 2019 13:52:13 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 29 2024 03:00:00 GMT-0500 (Eastern Standard Time),1247 E Main St,,Hampden County,300.0,5000.0,1020.0,Chicopee,Hampden,42.12756,-72.571312,Western MA,9/5/2023,"Mass Alternative Care, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282799,Royal Hemp LLC,Lanesborough,MA,1224.0,42.492862,-73.201996,660 CHESHIRE ROAD,,LANESBOROUGH,MA,1224.0,POINT (-73.209889 42.396128),POINT (-73.201995 42.4928620),660 CHESHIRE ROAD,,LANESBOROUGH,MA,1224.0,83-4641649,MRN282799,Tue Mar 24 2020 14:48:51 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,,Thu Jun 20 2019 13:42:35 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 20 2020 14:34:06 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Dec 08 2023 03:00:00 GMT-0500 (Eastern Standard Time),660 Cheshire Rd,,Berkshire County,300.0,10000.0,1224.0,Berkshire,Berkshire,42.396128,-73.209889,,9/5/2023,Royal Hemp LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,COMMENCE OPS,12/8/2021,COMPLETE,MR282881,Frozen 4 Corporatioon,Marshfield,MA,2050.0,42.10628,-70.758619,618 Columbia Road,,Dorchester,MA,2125.0,POINT (-70.818958 41.978877),POINT (-70.758618 42.1062799),8 Bayridge Lane,,Duxbury,MA,2332.0,83-2341577,MRN282881,Thu Mar 12 2020 15:10:52 GMT-0400 (Eastern Daylight Time),Fri Feb 07 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Jun 05 2020 14:06:54 GMT-0400 (Eastern Daylight Time),True,,,,,EEA201955,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 22 2019 14:25:27 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:13:00 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),985 Plain St,,Plymouth County,300.0,5000.0,2050.0,Marshfield,Plymouth,41.978877,-70.818958,Southeast and Cape,9/5/2023,Frozen 4 Corporatioon,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,1/23/2020,COMPLETE,MC282015,"SIRA NATURALS, INC.",Milford,MA,1757.0,42.142164,-71.491994,ONE INDUSTRIAL ROAD,,MILFORD,MA,1757.0,POINT (-71.840209 42.329642),POINT (-71.491994 42.1421640),300 TRADE CENTER DRIVE,SUITE 7700,WOBURN,MA,1801.0,46-5147723,MCN282015,Sun Mar 31 2019 11:56:32 GMT-0400 (Eastern Daylight Time),Tue Mar 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2019 15:55:34 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201855,RP201855,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",Thu Dec 19 2019 08:00:00 GMT-0500 (Eastern Standard Time),Sat Mar 02 2019 06:53:02 GMT-0500 (Eastern Standard Time),Wed Apr 10 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 13 2019 15:56:14 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 16 2023 04:00:00 GMT-0400 (Eastern Daylight Time),2 Industrial Rd,,Worcester County,600.0,5000.0,1757.0,Milford,Worcester,42.329642,-71.840209,Central MA,9/5/2023,"SIRA NATURALS, INC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - Two or More,Expedited,Two or More,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281435,Top Shelf Cannaseurs LLC,Hudson,MA,1749.0,42.039231,-71.614093,11 Brent Drive,,Hudson,MA,1749.0,POINT (-71.275566 42.459085),POINT (-71.614092 42.0392310),25 Harriman Road,,Hudson,MA,1749.0,84-2290468,MPN281435,Mon Mar 09 2020 10:50:39 GMT-0400 (Eastern Daylight Time),Tue Nov 12 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Veteran-Owned Business,,,,Fri Jul 13 2018 09:35:31 GMT-0400 (Eastern Daylight Time),Thu Mar 12 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Fri May 08 2020 15:04:20 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Aug 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),56 Industrial Dr,,Worcester County,300.0,5000.0,1749.0,Hudson,Middlesex,42.459085,-71.275566,Central MA,9/5/2023,Top Shelf Cannaseurs LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,FINAL LICENSE,FINAL LICENSE,,COMPLETE,MC281622,ARL Healthcare Inc.,New Bedford,MA,2745.0,41.726796,-70.965285,167 John Vertente Blvd,,New Bedford,MA,2745.0,POINT (-71.102131 41.778329),POINT (-70.965284 41.726796),167 John Vertente Blvd,,Norwood,MA,2745.0,46-3459666,MCN281622,Thu Feb 06 2020 11:44:52 GMT-0500 (Eastern Standard Time),Thu Jul 11 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Apr 30 2020 09:03:35 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201908,RP201908,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 23 2018 18:13:46 GMT-0400 (Eastern Daylight Time),Wed Jan 15 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 14:26:26 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),167 John Vertente Blvd,,Bristol County,600.0,20000.0,2745.0,New Bedford,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023,ARL Healthcare Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,9/20/2022,COMPLETE,MP281966,Regenerative LLC,Uxbridge,MA,1569.0,42.059736,-71.638438,30 Noonan Way (formerly known as 1035 Quaker Hwy),,Uxbridge,MA,1569.0,POINT (-71.840209 42.329642),POINT (-71.638437 42.0597360),679 Washington St.,Ste8#177,Attleboro,MA,2703.0,85-2143420,MPN281966,Thu Nov 05 2020 20:10:32 GMT-0500 (Eastern Standard Time),Mon Nov 02 2020 10:03:42 GMT-0500 (Eastern Standard Time),Wed Mar 17 2021 12:55:38 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 15 2020 21:19:30 GMT-0400 (Eastern Daylight Time),Fri Nov 06 2020 12:59:43 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:43:01 GMT-0500 (Eastern Standard Time),Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,Worcester County,1500.0,10000.0,1569.0,Uxbridge,Worcester,42.329642,-71.840209,Central MA,9/5/2023,Regenerative LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
