ccclastupdated,application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,approved_license_stages,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,cccupdatedate,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
11/27/2023,APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281686,"Sama Productions, LLC",Sandisfield,1255.0,,,42 South Main Street,,Sandisfield,MA,1255,POINT (-73.209889 42.396128),POINT (-73.063928 42.0758950),28 Priscilla Avenue,,Yonkers,NY,10710,86-1451776,MPN281686,Tue Jan 04 2022 14:51:30 GMT-0500 (Eastern Standard Time),Thu Sep 16 2021 17:41:04 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,,Sat Jun 01 2019 03:52:48 GMT-0400 (Eastern Daylight Time),Fri Jan 14 2022 11:17:53 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:51:04 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jun 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1255.0,Sandisfield,Berkshire,42.396128,-73.209889,Western MA,11/27/2023,,MA,42.075895,-73.063928,,"Sama Productions, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,COMMENCE OPS,2/14/2023,COMPLETE,MD1265,Rolling Releaf LLC,Middleborough,2346.0,,,370 Wareham Street,,Middleborough,MA,2346,POINT (-70.818958 41.978877),,22 Rock Island Road,,Quincy,MA,2169,85-1220335,MDA1265,Fri Sep 03 2021 10:19:49 GMT-0400 (Eastern Daylight Time),Wed Sep 01 2021 11:11:22 GMT-0400 (Eastern Daylight Time),,True,,SE303639,,,,,,,Not a DBE,,,Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 12 2021 13:52:33 GMT-0400 (Eastern Daylight Time),Fri Sep 10 2021 09:41:27 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:39:11 GMT-0500 (Eastern Standard Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 18 2024 03:00:00 GMT-0500 (Eastern Standard Time),,,2346.0,Middleboro,Plymouth,41.978877,-70.818958,,11/27/2023,,MA,,,SE303639,Rolling Releaf LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282137,"Glacier Rock Farm, Inc.",Cummington,1026.0,,,"c/o Stage Road Holdings, LLC","1 Monarch Place, Suite 310",Springfield,MA,1144,POINT (-72.62073 42.322256),POINT (-72.866085 42.4663340),"c/o Stage Road Holdings, LLC","1 Monarch Place, Suite 310",Springfield,MA,1144,83-4488305,MCN282137,Mon Mar 16 2020 15:46:43 GMT-0400 (Eastern Daylight Time),Wed Jan 15 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Wed May 08 2019 14:14:25 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:14:04 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Jun 09 2024 04:00:00 GMT-0400 (Eastern Daylight Time),600.0,5000.0,1026.0,Cummington,Hampshire,42.322256,-72.62073,Western MA,11/27/2023,,MA,42.466334,-72.866086,,"Glacier Rock Farm, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Product Manufacturer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP281910,"Holyoke Green Growers, LLC.",Holyoke,1040.0,,,60 Jackson St.,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 sargent st,,holyoke,MA,1040,82-5257334,MPN281910,Mon Jan 24 2022 12:41:49 GMT-0500 (Eastern Standard Time),Tue Dec 15 2020 10:46:03 GMT-0500 (Eastern Standard Time),,True,yes,EE202034,APPROVED,EE202034,EE202034,,,,Not a DBE,,,,Fri Jul 03 2020 08:24:28 GMT-0400 (Eastern Daylight Time),Fri Dec 03 2021 11:39:52 GMT-0500 (Eastern Standard Time),Mon Feb 14 2022 16:17:24 GMT-0500 (Eastern Standard Time),,,,,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,11/27/2023,,MA,42.19586,-72.614538,,"Holyoke Green Growers, LLC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281775,"1620 Labs, LLC",Athol,1331.0,,,503 South Street,,Athol,MA,1331,POINT (-71.840209 42.329642),POINT (-72.231001 42.592005),P.O. Box 480,,Athol,MA,1331,82-5412946,MCN281775,Fri Sep 27 2019 08:20:03 GMT-0400 (Eastern Daylight Time),Mon Apr 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 11:27:26 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Sat Oct 27 2018 16:37:59 GMT-0400 (Eastern Daylight Time),Mon Oct 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:16:31 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Mar 27 2023 04:00:00 GMT-0400 (Eastern Daylight Time),600.0,5000.0,1331.0,Athol,Worcester,42.329642,-71.840209,Western MA,11/27/2023,,MA,42.592005,-72.231001,,"1620 Labs, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Transporter with Other Existing ME License,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MX281413,"FitzCanna, Inc",Clinton,1510.0,,,"75 Green Street, Suite 5",,Clinton,MA,1510,POINT (-71.840209 42.329642),POINT (-71.679017 42.4129539),60 Bolton Station Road,,Lancaster,MA,1523,87-1573192,MXN281413,Tue May 09 2023 11:40:32 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 15:57:03 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Woman-Owned Business,,,,Sat Jun 18 2022 08:26:45 GMT-0400 (Eastern Daylight Time),Fri May 12 2023 12:11:39 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 11:42:59 GMT-0400 (Eastern Daylight Time),Tue Oct 31 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 31 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1000.0,5000.0,1510.0,Clinton,Worcester,42.329642,-71.840209,Central MA,11/27/2023,,MA,42.412954,-71.679018,,"FitzCanna, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,2/17/2021,COMPLETE,MP281662,HIGHMINDED LLC,Great Barrington,1230.0,,,126 Main Street,,Great Barrington,MA,1230,POINT (-73.209889 42.396128),POINT (-73.360406 42.199472),126 Main Street,,Great Barrington,MA,1230,83-0990966,MPN281662,Mon Dec 16 2019 16:49:22 GMT-0500 (Eastern Standard Time),Tue Dec 10 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Apr 13 2020 10:16:07 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",,,Thu Nov 19 2020 03:00:00 GMT-0500 (Eastern Standard Time),Wed May 08 2019 14:48:58 GMT-0400 (Eastern Daylight Time),Thu Feb 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:15:30 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1230.0,Great Barrington,Berkshire,42.396128,-73.209889,Western MA,11/27/2023,,MA,42.199472,-73.360407,,HIGHMINDED LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Microbusiness,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,6/29/2020,COMPLETE,MB281476,"Blackstone Valley Naturals, LLC",Uxbridge,1569.0,,,660 Douglas Street SUITE 400,,Uxbridge,MA,1569,POINT (-71.840209 42.329642),POINT (-71.669275 42.0624109),660 Douglas Street SUITE 400,,Uxbridge,MA,1569,83-1933336,MBN281476,Wed Feb 27 2019 17:56:51 GMT-0500 (Eastern Standard Time),Tue Feb 12 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 01 2019 09:40:22 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Feb 06 2020 03:00:00 GMT-0500 (Eastern Standard Time),Tue Sep 18 2018 09:00:54 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 27 2019 16:26:19 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Feb 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),300.0,3125.0,1569.0,Uxbridge,Worcester,42.329642,-71.840209,Central MA,11/27/2023,,MA,42.062411,-71.669276,,"Blackstone Valley Naturals, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103048,Bean Collective LLC,,,,,63 Coburn st,,Lowell,MA,1852,,,63 Coburn st,,Lowell,MA,1852,84-2083386,PDOA103048,Wed Jun 17 2020 19:48:05 GMT-0400 (Eastern Daylight Time),Wed Jun 10 2020 12:57:47 GMT-0400 (Eastern Daylight Time),,True,,SE303968,INCOMPLETE,EE201943,,,,,Veteran-Owned Business | Minority-Owned Business,,,,Thu May 28 2020 22:46:18 GMT-0400 (Eastern Daylight Time),Fri Jun 19 2020 14:17:26 GMT-0400 (Eastern Daylight Time),Wed Jul 01 2020 09:32:08 GMT-0400 (Eastern Daylight Time),Wed Jul 01 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jul 01 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,11/27/2023,,MA,,,,Bean Collective LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Delivery Operator Pre-Certification,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5860,Relevant Energy Concepts LLC,,,,,1833 Roosevelt Avenue,,Springfield,MA,1109,,,1833 Roosevelt Avenue,,Springfield,MA,1109,85-2318289,PMDA5860,Mon Jun 14 2021 12:13:04 GMT-0400 (Eastern Daylight Time),Fri Jun 11 2021 15:41:02 GMT-0400 (Eastern Daylight Time),,True,,EE202251,APPROVED,EE202251,,,,,Not a DBE,,,,Fri Jun 04 2021 13:54:18 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 14:05:43 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 14:05:54 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 29 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,11/27/2023,,MA,,,,Relevant Energy Concepts LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
