ccclastupdated,application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,approved_license_stages,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,cccupdatedate,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
11/27/2023,APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284253,"Lemonnade Springfield, LLC",Springfield,1105.0,,,595 Main Street,,Springfield,MA,1105,POINT (-72.571312 42.12756),POINT (-72.580787 42.0942420),4675 MacArthur Court Floor 15,,Newport Beach,CA,92660,86-3974146,MRN284253,Thu Feb 03 2022 09:58:10 GMT-0500 (Eastern Standard Time),Mon Jun 21 2021 13:25:08 GMT-0400 (Eastern Daylight Time),Mon Apr 03 2023 15:22:05 GMT-0400 (Eastern Daylight Time),True,yes,EE202373,,,EE202373,,,,Not a DBE,,,,Wed May 19 2021 12:43:53 GMT-0400 (Eastern Daylight Time),Mon Feb 07 2022 14:56:15 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:07:25 GMT-0400 (Eastern Daylight Time),Mon Apr 03 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 03 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,1105.0,Springfield,Hampden,42.12756,-72.571312,Western MA,11/27/2023,,MA,42.094242,-72.580787,,"Lemonnade Springfield, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,COMMENCE OPS,2/13/2023,COMPLETE,MR284181,KG Collective LLC,Cambridge,2138.0,,,1536 Tremont St,,Boston,MA,2120,POINT (-71.275566 42.459085),POINT (-71.149512 42.374955),1536 Tremont St,,Boston,MA,2120,82-5066736,MRN284181,Thu Apr 15 2021 13:35:56 GMT-0400 (Eastern Daylight Time),Wed Mar 31 2021 10:17:42 GMT-0400 (Eastern Daylight Time),,True,yes,EE201965,APPROVED,EE201965,EE201965,,,,Not a DBE,,,Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Mar 22 2021 19:44:27 GMT-0400 (Eastern Daylight Time),Fri Apr 30 2021 09:45:33 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 11:05:40 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Aug 09 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2138.0,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,11/27/2023,,MA,42.374955,-71.149512,,KG Collective LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,1/8/2019,COMPLETE,MR281588,Temescal Wellness of Massachusetts,Pittsfield,1201.0,,,10 Callahan Drive,,Pittsfield,MA,1201,POINT (-73.209889 42.396128),POINT (-73.317971 42.4299090),665 Cochituate Road,Second Floor,Framingham,MA,1701,46-2527018,MRN281588,Fri Aug 17 2018 16:07:41 GMT-0400 (Eastern Daylight Time),Wed Jul 25 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Sun Sep 23 2018 08:21:22 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201850,RP201850,Not a DBE,,,Thu Dec 13 2018 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jun 13 2018 11:49:01 GMT-0400 (Eastern Daylight Time),Tue Aug 21 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 15:47:42 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Sep 24 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1201.0,Pittsfield,Berkshire,42.396128,-73.209889,Western MA,11/27/2023,,MA,42.429909,-73.317972,,Temescal Wellness of Massachusetts,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,11/30/2021,COMPLETE,MR283143,Uma Flowers LLC,Pepperell,1463.0,,,109 Raffaele Drive,,Waltham,MA,2452,POINT (-71.275566 42.459085),POINT (-71.572796 42.6664239),109 Raffaele Drive,,Waltham,MA,2452,84-3613796,MRN283143,Mon May 11 2020 10:56:16 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,Thu Oct 14 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 23 2019 14:58:34 GMT-0500 (Eastern Standard Time),Thu May 21 2020 14:42:02 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:56:16 GMT-0400 (Eastern Daylight Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1463.0,Pepperell,Middlesex,42.459085,-71.275566,Central MA,11/27/2023,,MA,42.666424,-71.572797,,Uma Flowers LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,7/10/2023,COMPLETE,MR283963,"617 Therapeutic Health Care, Inc.",Boston,2122.0,,,144 Bowdoin St,,Dorchester,MA,2121,POINT (-71.073493 42.334948),POINT (-71.071084 42.3038250),168 Beacham St.,,Everett,MA,2149,83-1869024,MRN283963,Mon Sep 06 2021 17:00:03 GMT-0400 (Eastern Daylight Time),Thu Mar 04 2021 11:36:17 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,,,Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Dec 10 2020 10:15:41 GMT-0500 (Eastern Standard Time),Fri Sep 10 2021 10:58:45 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:07:00 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,2122.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,11/27/2023,,MA,42.303825,-71.071085,,"617 Therapeutic Health Care, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,6/5/2020,COMPLETE,MR282376,TDMA LLC,Worcester,1604.0,,,74 Grafton St,,Worcester,MA,1604,POINT (-71.840209 42.329642),POINT (-71.794023 42.2592070),305 SE 3rd Ave,Ste 203,Portland,OR,97214,83-1658023,MRN282376,Thu Apr 18 2019 12:38:14 GMT-0400 (Eastern Daylight Time),Tue Mar 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 15 2019 16:40:36 GMT-0400 (Eastern Daylight Time),True,,,,,,,,RPA201948,Not a DBE,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Feb 07 2019 10:28:27 GMT-0500 (Eastern Standard Time),Thu Sep 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 10 2019 13:15:10 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Dec 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),300.0,5000.0,1604.0,Worcester,Worcester,42.329642,-71.840209,Central MA,11/27/2023,,MA,42.259207,-71.794024,,TDMA LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,5/9/2023,COMPLETE,MR284607,New England Regional Dispensary,Clarksburg,1247.0,,,34 Cross Road,,Clarksburg,MA,1247,POINT (-73.209889 42.396128),POINT (-73.079824 42.7158220),65 Furnace St,,North Adams,MA,1247,84-4449751,MRN284607,Fri Sep 16 2022 14:25:19 GMT-0400 (Eastern Daylight Time),Mon May 02 2022 10:57:05 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 07 2022 12:05:55 GMT-0500 (Eastern Standard Time),Fri Aug 05 2022 09:18:07 GMT-0400 (Eastern Daylight Time),Mon Sep 19 2022 08:43:17 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Oct 16 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1247.0,North Adams,Berkshire,42.396128,-73.209889,Western MA,11/27/2023,,MA,42.715822,-73.079824,,New England Regional Dispensary,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,11/4/2020,COMPLETE,MR282160,"The Botanist, Inc.",Worcester,1606.0,,,200 Portland Street,5th Floor,Boston,MA,2114,POINT (-71.840209 42.329642),POINT (-71.798843 42.3239459),200 Portland Street,5th Floor,Boston,MA,2114,47-3905518,MRN282160,Mon Feb 25 2019 14:54:26 GMT-0500 (Eastern Standard Time),Wed Jan 23 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,APPROVED,RP201860,RP201860,Not a DBE,,,Thu Oct 08 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Dec 10 2018 10:39:07 GMT-0500 (Eastern Standard Time),Wed May 15 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:52:57 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 22 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1606.0,Worcester,Worcester,42.329642,-71.840209,Central MA,11/27/2023,,MA,42.323946,-71.798843,,"The Botanist, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284774,"UC Retail, LLC",Bolton,1740.0,,,476 Main Street,,Bolton,MA,1740,POINT (-71.840209 42.329642),POINT (-71.589066 42.430045),601 Fitchburg State Road,,Ashby,MA,1431,87-2349254,MRN284774,Thu Aug 31 2023 08:41:41 GMT-0400 (Eastern Daylight Time),Tue Nov 29 2022 14:23:49 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,,,,Thu Sep 29 2022 09:15:04 GMT-0400 (Eastern Daylight Time),Fri Jul 28 2023 09:50:27 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 12:53:03 GMT-0400 (Eastern Daylight Time),Mon Nov 06 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 06 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1740.0,Bolton,Worcester,42.329642,-71.840209,Central MA,11/27/2023,,MA,42.430045,-71.589066,,"UC Retail, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
11/27/2023,APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,6/2/2023,COMPLETE,MR282984,Noble Manna Inc.,Mendon,1756.0,,,47 Milford Street,,Mendon,MA,1756,POINT (-71.840209 42.329642),POINT (-71.545586 42.1149320),"110 Turnpike Road, Suite 114",,Westborough,MA,1581,84-3228266,MRN282984,Mon Feb 15 2021 09:29:54 GMT-0500 (Eastern Standard Time),Tue Nov 24 2020 12:31:35 GMT-0500 (Eastern Standard Time),Fri Mar 12 2021 15:12:00 GMT-0500 (Eastern Standard Time),True,no,,,,,,,,Veteran-Owned Business,,,Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 12 2019 12:13:25 GMT-0400 (Eastern Daylight Time),Thu Dec 10 2020 10:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 11 2021 13:59:24 GMT-0500 (Eastern Standard Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1756.0,Mendon,Worcester,42.329642,-71.840209,Central MA,11/27/2023,,MA,42.114932,-71.545587,,Noble Manna Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
