license_number,business_legal_name,business_type,premise_county,expiration_date,issue_date,business_owner_name,premise_street_address,mailing_street_address,business_phone,business_email,business_structure,business_image_url,business_website,id,premise_state,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,parcel_number,activity,premise_latitude,premise_longitude
DSPY011223,"420 Bay St. Louis Dispensary, Inc.",Dispensary,Hancock County,,,Sam Farea,"200 HIGHWAY 90 APT 8 WAVELAND, MS 39576","4322 W RAILROAD ST GULFPORT, MS 39501",(228) 328-5116,samfarea4@gmail.com,,,,DSPY011223,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3085876,-89.3724457
DSPY017130,420 Holiday LLC,Dispensary,Jackson County,,,Sam Farea,"4001 DENNY AVE STE D APT 8 PASCAGOULA, MS 39581","4001 DENNY AVE STE D PASCAGOULA, MS 39581",(228) 328-5116,fareasam18@gmail.com,,,,DSPY017130,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3832594,-88.52000579999999
DSPY004025,5436 I-55 LLC,Dispensary,Hinds County,,,Ray Holbrook,"5440 I 55 FRONTAGE RD N APT 17 JACKSON, MS 39211","PO BOX 2386 RUSTON, LA 71273",(313) 333-1946,kushvibezcbd@gmail.com,,,,DSPY004025,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3765989,-90.14721709999999
DSPY014937,Aeroma Dispensary Company LLC,Dispensary,Lamar County,,,"James Williamson, Charles Blankenship, William Klaus","6610 US-98 Hattiesburg, MS 39402","6610 US-98 Hattiesburg, MS 39402",(601) 906-7385,info@aeromacannabis.com,,,,DSPY014937,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3159711,-89.4238973
DSPY015334,"AllsWell Brands, LLC",Dispensary,Jones County,,,"Scott French, Anthony Zadrozny","110 S MAGNOLIA ST LAUREL, MS 39440","110 S MAGNOLIA ST LAUREL, MS 39440",(919) 988-0193,tonyzadrozny@gmail.com,,,,DSPY015334,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.6894231,-89.1328403
DSPY010024,"AMG GOLD Dispensary, LLC",Dispensary,Harrison County,,,"Randy Carr, David Banks, Carl Panebiango, Robert Wolfe, Big Skys, LLC","1887 PASS RD BILOXI, MS 39531","PO BOX 968 PICAYUNE, MS 39466",(601) 798-5757,robert@robertwolfeinc.com,,,,DSPY010024,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.40300359999999,-88.9504595
DSPY018844,"Apothecarium Green, LLC",Dispensary,Lowndes County,,,"Corey Herring, Sophia Kibe","1920 HIGHWAY 45 N COLUMBUS, MS 39705","1920 HIGHWAY 45 N STE 5 COLUMBUS, MS 39705",(662) 574-8033,apothecariumgreen@gmail.com,,,,DSPY018844,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.5201723,-88.4345578
DSPY010867,Arcane Enterprises,Dispensary,Coahoma County,,,Katricia Smith,"4241 HIGHWAY 49 DREW, MS 38737","13220 OLD LOCKE RD OLIVE BRANCH, MS 38654",(662) 701-7696,klsmith@arcanemd.com,,,,DSPY010867,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.0737094,-90.4871637
DSPY013030,Bee's Buds,Dispensary,Jackson County,,,"Billy Wilson, Barbara Wilson","14313 STENUM ST BILOXI, MS 39532","20467 HIGHWAY 49 SAUCIER, MS 39574",(850) 554-9411,b.beesbuds@gmail.com,,,,DSPY013030,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.453096,-88.8493669
DSPY006118,"Bennett Marketing, LLC",Dispensary,Forrest County,,,"Gregory Bennett, Mama's Boys Investments, LLC","6335 US 49 #40 Hattiesburg, MS 39401","6335 US 49 #40 Hattiesburg, MS 39401",(601) 707-4039,jmitchell@hatlawfirm.com,,,,DSPY006118,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3389832,-89.32980959999999
